yang	which
tukang	craftsman
keledai	donkey
bangkit	get up
berumur	old
perkara	thing
penyakit	disease
nanti	later
membangun	build
berkuasa	powerful
iman	faith
kehendak	will
ayat	sentence
Galilea	Galilee
menangkap	catch
lewat	late
Elia	Elijah
siap	ready
menangis	cry
kebenaran	truth
pelayan	waiter
kuno	ancient
inilah	this is it
hikmat	wisdom
murka	anger
bersumpah	swear
Maria	Mary
bijaksana	wise
menyembuhkan	heal
kebaikan	kindness
alam	nature
desa	village
berteriak	shout
Asyur	Assyria
lihat	see
kanan	right
semesta	universe
maju	advance
penjara	prison
menuju	towards
lahir	born
keadaan	situation
rencana	plan
menolak	refuse
buta	blind
sujud	prostrate
berfirman	said
menyenangkan	pleasant
memilih	choose
gadis	girl
tuanku	my lord
janda	widow
ujung	tip
perjalanan	journey
bintang	star
keempat	fourth
Sion	Zion
lainnya	other
kulit	skin
sesungguhnya	indeed
saudari	sister
membinasakan	destroy
kiranya	maybe
selatan	south
kitab	book
keinginan	desire
menyatakan	declare
diberi	given
terdapat	there is
muka	face
memerintahkan	order
binasa	perish
bodoh	stupid
mayat	corpse
Manasye	Manasseh
Ishak	Isaac
begini	like this
perang	war
berani	brave
Efraim	Ephraim
padanya	on him
gelap	dark
dalamnya	inside
adil	fair
berlaku	happen
perkemahan	campsite
dijanjikan	promised
Pilatus	Pilate
singa	lion
kemah	tent
kekal	permanent
mengalahkan	defeat
membakar	burn
semakin	increasingly
keadilan	justice
memegang	holding
kasihan	pity
dianggap	considered
Yer	Yes
Paskah	Easter
doa	prayer
buku	book
isteri	wife
melarikan	run away
Yoab	Joab
pikiran	mind
seiman	faith
pemerintahan	government
Yunani	Greece
Herodes	Herod
pegunungan	mountains
menyertai	join
wilayah	region
prajurit	soldier
membuka	open
saksi	witness
seratus	one hundred
memperhatikan	pay attention
kawin	get married
karunia	gift
menulis	write
memandang	looking
makhluk	creature
berikan	give
perwira	officer
menemukan	find
anakku	my child
tumbuh	grow
mengusir	expel
hasta	cubit
pelataran	courtyard
padamu	to you
mulut	mouth
ketetapan	decree
kabar	news
damai	peace
selamat	safe
pegawai	officer
melakukannya	do it
menganggap	consider
menghina	insult
kesaksian	testimony
heran	surprised
tugas	task
fasik	wicked
penting	important
macam	kind of
cepat	fast
berat	weight
rohani	spiritual
jelas	clear
bersukacita	rejoice
memukul	hit
ibadat	worship
berkenan	please
terakhir	last
sebagian	partly
raya	festival
ibunya	his mother
dulu	first
Hizkia	Hezekiah
Yeremia	Jeremiah
mengapa	why
dipersembahkan	presented
barat	west
bapa	father
Roma	Rome
siang	noon
menghormati	respect
membenci	hate
diselamatkan	saved
dimakan	eaten
bertemu	meet
bangun	wake up
teman	friend
sulung	eldest
kelaparan	hunger
menceritakan	tell
memakan	eat
kering	dry
atasnya	on it
rumput	grass
hilang	lost
Elisa	Elisha
tuan	sir
selesai	finished
tepi	edge
dipilih	chosen
siapakah	who is
lembah	valley
setan	devil
penglihatan	vision
penderitaan	suffering
terlalu	too
maut	death
ikan	fish
allah	god
menghakimi	judge
sembuh	recover
menjaga	take care of
turut	also
tulang	bone
diserahkan	submitted
menimpa	overtake
hidupnya	his life
bertobat	repent
palsu	fake
syukur	gratitude
putih	white
perahu	boat
gembira	happy
berpikir	think
Yeh	Yes
memimpin	lead
hampir	almost
beserta	along with
saudaramu	your brother
kamar	room
jubah	robe
maksud	purpose
pesta	party
membebaskan	free
membayar	pay
gembala	shepherd
tepat	exactly
salam	greetings
mengejar	chase
ternak	livestock
tali	rope
pejabat	office
cukup	enough
benda	thing
naskah	script
walaupun	even though
namun	however
menaruh	put
manakah	which one
Yonatan	Jonathan
rendah	low
perumpamaan	parable
kelompok	group
istrinya	his wife
yakin	confident
sepanjang	throughout
sedih	sad
langsung	directly
agung	great
pujian	praise
mengampuni	forgive
kemenangan	victory
ilah	god
seberang	across
hakim	judge
belakang	back
sebenarnya	actually
meletakkan	put
sedangkan	whereas
murni	pure
tongkat	stick
sanggup	willing
pertemuan	meeting
kegelapan	darkness
dasar	policy
batas	limit
sekeliling	around
musim	season
merupakan	is
membantu	help
jujur	honest
tenang	calm
Yudas	Judas
suaminya	her husband
menghasilkan	produce
kekuasaan	power
besi	iron
bertambah	increase
arti	meaning
sekalipun	even though
lenyap	disappear
bagiku	for me
Ibr	Hebrew
Yesaya	Isaiah
zaitun	olive
punya	have
peringatan	warning
kau	you
tapi	but
kena	hit
bila	when
menggantikan	replace
ganti	replace
kemarahan	anger
berhasil	successful
ular	snake
sering	often
kecuali	except
mengalami	experience
kesusahan	trouble
bunyi	sound
sisa	waste
terjemahan	translation
petunjuk	clue
Yerobeam	Jeroboam
Aram	Aramaic
setengah	half
memiliki	own
bertindak	act
bencana	disaster
memperanakkan	give birth to
nasihat	advice
ketakutan	fear
hatiku	my heart
panjang	long
delapan	eight
bersih	clean
berguna	useful
arah	direction
tembaga	copper
menguasai	master
buahnya	the fruit
pahlawan	hero
menguatkan	strengthen
layak	worthy
baju	shirt
akhir	end
sementara	temporary
agar	so that
sorga	heaven
menggunakan	using
keputusan	decision
kehidupan	life
jumlah	amount
jikalau	if
harinya	the day
pengetahuan	knowledge
namanya	his name
menuruti	obey
membeli	buy
malapetaka	catastrophe
melanggar	violate
hak	right
berbalik	turn around
pertempuran	battle
menghancurkan	destroy
hancur	destroyed
hambamu	your servant
tanduk	horn
pengawal	guard
Yakobus	James
upah	wages
tanganmu	your hand
moyangmu	your ancestors
hebat	great
tabut	ark
mari	come
berkemah	camping
sejahtera	prosperous
menipu	deceive
kerub	cherub
terima	accept
sajian	meal
pembuangan	disposal
padahal	although
menyebabkan	cause
hidupmu	your life
mengucapkan	to say
mengikut	according to
ingat	remember
ditentukan	determined
banyaknya	many
Yudea	Judea
kurang	less
kelihatan	visible
berharga	valuable
bebas	free
telinga	ear
samping	side
memutuskan	decide
katakanlah	say
Nebukadnezar	Nebuchadnezzar
si	the
menemui	find
dijadikan	made
bersorak	cheer
upacara	ceremony
perayaan	celebration
kesempatan	opportunity
hutan	forest
bunga	flower
perkasa	mighty
menunggu	waiting
baginya	for him/her
menyebut	mention
membawanya	bring it
dengar	listen
berharap	hope
pajak	tax
nyala	flame
menyala	lit
memberikannya	give it
alat	tool
Ayub	Job
pemuka	leader
olah	though
dibakar	burned
aman	peaceful
pusaka	inheritance
mendapatkan	get
diangkat	lifted
berikut	following
sempurna	perfect
menanggung	bear
diutus	sent
debu	dust
suami	husband
mentaati	obey
melindungi	protect
matamu	your eyes
kuburan	cemetery
kepalanya	his head
penjaga	guard
mengakui	admit
kehilangan	loss
indah	beautiful
berbagai	various
ternyata	it turns out
perlindungan	protection
dilakukannya	he did it
betapa	how much
berpegang	hold on
ara	fig
makin	more
membalas	reply
Filipus	Philip
salib	cross
pertolongan	help
negara	country
mengingat	remember
membuang	throw away
leluhur	ancestor
kubur	grave
dinyatakan	stated
bersyukur	grateful
sukacita	joy
mengeluarkan	remove
isterinya	his wife
beginilah	this is how it is
seolah	as if
diambil	taken
Amori	Amorite
panah	arrow
sumur	well
memohon	apply
kejadian	incident
kedatangan	arrival
dilahirkan	born
Rm	Room
tuannya	his master
pemberian	gift
melihatnya	see it
meja	table
kemampuan	ability
kekayaan	wealth
bukanlah	is not
Yosafat	Jehoshaphat
Siria	Syria
Alkitab	Bible
rumahmu	your house
permata	jewel
lampu	lamp
dibaptis	baptized
padaku	to me
mendekati	approach
dialah	it is him
terbuka	open
saudaraku	my brother
merah	red
dikuburkan	buried
Saulus	Saul
Ruben	Reuben
tanggal	date
musuhmu	your enemy
berjanji	promise
alasan	reason
seribu	a thousand
dibuang	thrown away
bertahan	survive
kawanan	herd
dikuasai	controlled
berpuasa	fasting
Bileam	Balaam
contoh	example
sabar	patient
menutupi	cover
mengunjungi	visit
rempah	spices
keluarganya	his family
disalibkan	crucified
perantaraan	intermediary
muncul	appear
menentang	against
barangsiapa	whoever
unta	camel
teguh	firm
pakaiannya	his clothes
lapar	hungry
gua	cave
cucu	grandson
ungu	purple
nyawa	life
mengajarkan	teach
memenuhi	fulfill
Yoas	Joash
membangkitkan	awaken
bernubuat	prophesy
Yehu	Jehu
pilihan	choice
mohon	please
menahan	hold back
memuliakan	glorify
gemetar	trembling
sombong	arrogant
pengampunan	forgiveness
luka	wound
harapan	hope
sumpah	oath
memasuki	enter
lumpuh	paralyzed
lelaki	man
halus	delicate
Libanon	Lebanon
Kristen	Christian
tentaranya	his army
perkakas	appliance
patut	should
panglima	commander
menimbulkan	cause
keturunanmu	your descendants
berubah	change
Betel	Bethel
nyanyian	singing
ajaib	magical
merebut	seize
menentukan	determine
danau	lake
benih	seed
pekerja	worker
kemauan	will
kampung	village
disampaikan	delivered
selain	besides
mimpi	dream
hewan	animal
diampuni	forgiven
ayahmu	your father
tepung	flour
sembilan	nine
penduduknya	its population
pembesar	speaker
minuman	drink
memasang	install
hambanya	his servant
diberkati	blessed
berlimpah	abundant
pengadilan	court
pelayanan	service
berisi	filled
beribadah	worship
akhirnya	finally
Tirus	Tyre
terbaik	best
mengikat	bind
kelima	fifth
kediaman	residence
iblis	devil
hormat	respect
Yosia	Josiah
sunyi	quiet
perisai	shield
mulia	noble
marilah	come on
diangkut	transported
Zakharia	Zechariah
semula	again
menetap	settle down
kepunyaan	belonging
dosamu	your sin
warga	citizen
pengertian	understanding
menghadapi	face
keluarlah	come out
perbuatannya	his actions
kotanya	his city
peperangan	war
panjangnya	length
menurunkan	lower
disunat	circumcised
dahsyat	terrible
cabang	branch
selamanya	forever
rahasia	secret
menyentuh	touch
menjual	sell
mengalir	flowing
memelihara	to maintain
kakinya	his feet
Zedekia	Zedekiah
Simson	Samson
orangnya	the person
menampakkan	reveal
memberontak	rebel
melupakan	forget
dosanya	his sin
ditinggalkan	abandoned
berdasarkan	based on
berakhir	ends
Timotius	Timothy
rasa	taste
puncak	peak
lebarnya	the width
dipanggil	called
Nuh	Noah
seluruhnya	entirely
putra	son
pemerintah	government
pantas	fast
panas	hot
membaptis	baptize
dibebaskan	released
berdua	both
benteng	fortress
Pembaptis	Baptist
propinsi	province
membela	defend
Yerikho	Jericho
tolong	please
terdengar	heard
terbenam	sunset
syikal	shekel
sisi	side
sebanyak	as much as
jiwa	soul
berlayar	sailing
beribadat	worship
tersembunyi	hidden
mula	start
menerus	continuously
dusta	lie
diterima	accepted
dilihat	seen
dibinasakan	destroyed
dibangun	built
bertugas	on duty
sumber	source
penghapus	eraser
negerinya	his country
isi	content
berbaring	lie down
bagaikan	like
tempatnya	the place
tadi	earlier
seharusnya	should be
jam	clock
hadiah	gift
disuruh	told
baiklah	okay
ataupun	or
Sikhem	Shechem
sebagaimana	as
nyata	real
mulutnya	his mouth
memakannya	eat it
kecapi	harp
dicatat	recorded
cahaya	light
pantai	beach
mujizat	miracle
merampas	seize
gubernur	governor
ditetapkan	set
Mikha	Micah
tutup	close
kiri	left
dihormati	respected
berhak	entitled
ayahku	my father
Mordekhai	Mordecai
sorak	cheers
menyadari	realize
mahkota	crown
jenis	type
saatnya	it's time
pelacur	prostitute
miliknya	his/hers
menyediakan	provide
menyeberangi	cross
menyambut	welcome
duniawi	worldly
berlari	run
sahabat	friend
lawan	opponent
lagu	song
kalinya	time
buruk	bad
Damsyik	Damascus
pinggang	waist
menyangka	thought
menutup	close
mengizinkan	allow
bapak	father
bantuan	help
Abimelekh	Abimelech
tanaman	plant
tahan	hold
sebelumnya	previously
menindas	oppress
menempatkan	place
membagi	divide
tawanan	prisoner
sekitar	around
satunya	the only one
pegawainya	his/her employee
babi	pig
sepi	quiet
pemuda	youth
menyanyikan	sing
menjalankan	run
mengatur	arrange
keduanya	both
bayi	baby
senjata	weapon
puteri	princess
pulau	island
meskipun	although
mendahului	precede
menajiskan	defile
luput	expired
keturunannya	his descendants
kapan	when
jumlahnya	the amount
ingatlah	remember
belalang	grasshopper
taman	garden
pura	temple
perunggu	bronze
pendamaian	reconciliation
penatua	elder
menjatuhkan	drop
mengucap	to speak
memperlakukan	treat
limpah	abundant
kenyang	full
bukankah	isn't it
bermaksud	means
tentu	of course
pandai	clever
mukanya	his face
mengurus	manage
mengandung	pregnant
menanyakan	ask
membuktikan	prove
kenal	know
kebiasaan	habit
gunanya	its use
diberitahukan	notified
bunyinya	the sound
Efrat	Euphrates
terbunuh	killed
pasir	sand
menarik	interesting
melarang	prohibit
lihatlah	look
bergembira	be happy
tubuhnya	his body
terhormat	honorable
subur	fertile
sampaikan	convey
pinggir	edge
nyaring	loud
mengubah	change
berpakaian	dress
asal	original
Betlehem	Bethlehem
sekalian	everyone
perbuatanmu	your actions
menciptakan	create
jawaban	answer
hadir	present
catatan	note
biarkan	let
wajah	face
perbatasan	border
menyesatkan	misleading
bijak	wise
berkabung	mourning
anjing	dog
tiada	no
putus	break up
mabuk	drunk
ditimpa	overtaken
diketahui	known
diciptakan	created
dibenarkan	allowed
buat	make
Ismael	Ishmael
Ester	Esther
tewas	lost
sekelilingnya	around it
sayap	wing
mengelilingi	surround
lupa	forget
berzinah	commit adultery
bersaksi	testify
berangkatlah	go away
amarah	anger
usah	no need
tersebut	the
sesat	stray
sanak	relative
papan	board
menikmati	enjoy
menghidupkan	turn on
kosong	empty
gagah	brave
diucapkan	spoken
Rehabeam	Rehoboam
perjamuan	banquet
pengajaran	teaching
mencuci	wash
menara	tower
melaksanakan	implement
kawan	friend
dihidupkan	turned on
bawalah	bring it
bahaya	danger
angkatan	generation
ratu	queen
pulanglah	go home
pihak	party
menduduki	occupy
matanya	his eyes
kebinasaan	destruction
injak	step on
titah	command
tanya	ask
ruang	space
negerimu	your country
nafsu	lust
menyembunyikan	hide
jemaah	congregation
fana	mortal
dibangkitkan	resurrected
besok	tomorrow
merendahkan	to humiliate
menuntun	to guide
mengaku	confess
mendengarnya	hear it
memperoleh	obtain
diterjemahkan	translated
perbuat	do
merayakan	celebrate
mengadili	judge
mencintai	love
membasuh	wash
keyakinan	confidence
kantong	pocket
dikhususkan	dedicated
dikalahkan	defeated
terjadilah	happen
pertanyaan	question
liar	wild
jabatan	department
biji	seeds
bicara	talk
biasanya	usually
Makedonia	Macedonia
rupa	appearance
perhatikanlah	pay attention
pembunuh	murderer
memperlihatkan	show
kekurangan	shortage
disembah	worshipped
bulu	fur
beban	burden
Efesus	Ephesus
terikat	tied
sorai	cheers
sejati	true
petani	farmer
menantikan	looking forward to
memusnahkan	destroy
lemak	fat
kekerasan	violence
haus	thirsty
haram	illegal
bersembunyi	hide
bawa	bring
Rahel	Rachel
Het	Hittite
wangi	fragrant
tuduhan	accusation
timbul	arise
sadar	conscious
musuhku	my enemy
jaga	take care
celaka	wretched
bukti	evidence
bangga	proud
Basan	Bashan
semak	check
sebentar	for a moment
mencuri	steal
mencabut	to pull out
memikirkan	think about
lakukanlah	do it
kalah	lose
hanyalah	is just
dengarkanlah	listen
Yoyada	Jehoiada
temurun	generation
pikir	think
pencuri	thief
menguji	test
memotong	cut
dihina	insulted
dibiarkan	left alone
daun	leaf
Naftali	Naphtali
terkejut	surprised
sehari	one day
peristiwa	event
pelanggaran	violation
merekalah	they are
melenyapkan	eliminate
kedudukan	position
ikat	tie
gelang	bracelet
berikanlah	give it
abadi	eternal
tanganku	my hand
ragu	doubt
panen	harvest
meniup	blow
menang	win
jala	net
diriku	myself
berapa	how much
tengahmu	your middle
sesama	fellow
rambut	hair
pemilik	owner
mengasihani	pity
lenan	linen
kulihat	I see
gulungan	roll
berjaga	be on guard
alas	base
musuhnya	his enemy
mencapai	achieve
melewati	pass by
melebihi	exceed
kehormatan	honor
hubungan	relationship
efod	ephod
disediakan	provided
cawan	cup
berjuang	fight
tulus	sincere
penyembahan	worship
menyerbu	raid
menuai	harvest
memisahkan	separate
lah	yes
hina	contempt
dada	chest
bersinar	shine
bersiap	get ready
umur	age
umum	general
tingginya	height
temannya	his friend
sengsara	miserable
sekitarnya	surrounding area
pembunuhan	murder
nyawanya	his life
mengepung	surround
memerangi	fight
memasukkan	insert
malah	even
lubang	hole
kemari	here
keagungan	majesty
disembuhkan	cured
betul	right
beroleh	to have
berikutnya	next
antaramu	between you
terletak	located
sayang	dear
menyimpang	deviate
menggambarkan	describe
menepati	to comply
mangkuk	bowl
mampu	able
dikasihi	beloved
caranya	how
bersunat	circumcised
bercela	flawed
Sara	Sarah
tamu	guest
roda	wheel
kutuk	curse
kejam	cruel
kebijaksanaan	wisdom
bunuh	kill
belajar	study
barulah	then
setuju	agree
menyelesaikan	finish
menyeberang	cross
menginjak	step on
mengerikan	terrible
mengangkut	transport
iri	envy
barisan	line
bangunan	building
Yunus	Jonah
Ahazia	Ahaziah
tombak	spear
tidaklah	no
salinan	copy
rantai	chain
moyangnya	his ancestor
menanam	plant
komandan	commander
kesetiaan	loyalty
dipenjarakan	imprisoned
adik	younger brother
Ahas	Ahaz
penggembalaannya	herding
menuntut	demand
mengenakan	to wear
mendapati	found
membaca	reading
lipat	fold
kakimu	your feet
ditangkap	arrested
dikenal	known
dibuatnya	he made
buatan	artificial
buas	savage
berpaling	turn away
berkuda	horseback riding
bangunlah	wake up
asap	smoke
Yoram	Joram
Kasdim	Chaldean
usaha	effort
tubuhmu	your body
susah	difficult
setahun	a year
pengharapan	hope
menyangkal	deny
mengingatkan	remind
memikul	to shoulder
memeriksa	check
berbuah	fruitful
bahan	material
Zebulon	Zebulun
udara	air
semoga	hopefully
semangat	spirit
mengukur	measure
menghibur	entertain
meneruskan	continue
mencoba	try
lautan	ocean
kukatakan	I say
justru	precisely
halaman	page
dupa	incense
dewasa	adult
dengarlah	listen
Natan	Nathan
tipu	deception
sepenuhnya	completely
ragi	yeast
perdamaian	peace
pembalasan	retaliation
menerimanya	accept it
kuil	temple
kesesakan	congestion
dipotong	cut
bertengkar	quarrel
bermalam	stay overnight
berhadapan	face to face
alami	natural
abu	ash
Gibea	Gibeah
rahmat	grace
petang	evening
mundur	retreat
mengulurkan	extend
membuatnya	make it
madu	honey
lebar	width
ditulis	written
berilah	give it
trompet	trumpet
pimpinan	leadership
neraka	hell
milikmu	yours
merpati	pigeon
mengerjakan	work
mengabdi	serve
menetapkan	set
memusuhi	hostile
kembalilah	come back
keenam	sixth
diadili	be tried
darahnya	his blood
cerita	story
betina	female
Isai	Jesse
tingkat	floor
tahir	pure
sehat	healthy
puing	debris
pastilah	definitely
mudah	easy
mendekat	come closer
menambah	add
menabur	sow
meliputi	covering
atasmu	above you
Ef	Eph
ucapan	speech
terdiri	consists of
sifat	nature
sangkakala	trumpet
reruntuhan	ruins
manis	sweet
hasilnya	the result
disucikan	purified
bergerak	move
banjir	flood
Persia	Persian
Gat	Gath
Balak	Log
terpaksa	forced
semacam	kind of
mengutuk	curse
mengkhianati	betray
membersihkan	clean
mahal	expensive
keji	vile
jendela	window
hatilah	be careful
dijual	sold
berlindung	take refuge
benci	hate
bagikan	share
Yoyakim	Jehoiakim
Yizreel	Jezreel
tanahnya	his land
sidang	trial
puji	praise
perasaan	feeling
menikah	married
menebus	redeem
layu	wither
kilat	lightning
keuntungan	profit
kekasih	lover
kasihi	love
jagalah	take care
hidupku	my life
dilemparkan	thrown
berdirilah	stand up
begitulah	that's it
akal	reason
Mizpa	Mizpah
Amazia	Amaziah
terutama	especially
tersandung	stumble
terbang	fly
telanjang	naked
tangga	stairs
sendirilah	alone
puas	satisfied
puak	tribe
penjuru	corner
mendesak	urgent
menaati	obey
kedelapan	eighth
difirmankan	said
diajarkan	taught
budi	wisdom
bertempur	fight
berfirmanlah	speak
berdusta	lie
berbeda	different
ambillah	take it
Kehat	Hat
Boas	Boaz
Asyer	Asher
tulisan	writing
tersebar	spread
terbit	rising
takluk	surrender
pandangan	view
mengawasi	supervise
kebesaran	greatness
isinya	its contents
bilik	room
berdiam	be silent
Kaleb	Caleb
tunduk	bow
tujuan	purpose
tama	correct
sepenuh	full
rebah	collapse
perhentian	stop
pengantin	bride
menyaksikan	witness
mengajak	invite
lidah	tongue
diadakan	held
cuma	just
ambil	take
adiknya	his/her sister
turunlah	come down
tuanya	old
tampak	visible
susu	milk
sesamamu	your neighbor
sendirian	alone
rela	willing
perut	stomach
menjauhkan	keep away
mengundang	invite
menguburkan	bury
