'tween	在中間
addlehead	無賴
addlepated	混沌的
adducting	內收的
adductive	內收的
adductor muscle	內收肌
adenomyosis	子宮內膜異位
adequate to	有能力的
adequateness	適當
adermin	維生素B6
ADH	垂體後葉荷爾蒙
adhesive agent	膠黏劑
adhesive friction	緊握
adhesive material	膠黏劑
adhesive plaster	石膏
adhesiveness	黏著
adipose tissue	脂肪
adipose tumor	脂肪瘤
adiposeness	肥胖
adjudicatory	判決的
adjustable wrench	活絡扳子
adjutant bird	副官
adjutant stork	副官
administrate	管理
administrative official	官僚作風的人
Admiralty mile	海里
admission charge	入場費
admission fee	入場費
admission price	入場費
admonisher	班長
admonishing	告誡的
adobe brick	磚坯
adoptive parent	養父母
adoring	喜歡的
adrenergic drug	腎上腺素的
adrenocorticotrophic	促腎上腺皮質的
adrenocorticotrophic hormone	促腎上腺皮質激素
adrenocorticotrophin	促腎上腺皮質激素
adrenocorticotropic hormone	促腎上腺皮質激素
adrenocorticotropin	促腎上腺皮質激素
adsorbent material	吸附劑
adult female	女人
adult male	男人
adult tooth	恆齒
adulterated	攙雜
adulterating	摻雜物
adulterously	通姦的
adust	炒過的
advancing	期貨
advantageousness	有利
adventurousness	冒險
adverse witness	敵意證人
advertently	深切注意地
advertize	通知
advertizement	廣告#優勢
advertizing	廣告#優勢
advocacy group	大廳
aegir	孔
Aeonium haworthii	輪轉焰火
Aepyceros melampus	黑斑羚
aerated	緊張的
aerial tramway	電車軌道
aerify	使氣化
aerobic exercise	有氧運動
aerodynamic lift	舉起
aerogenerator	風車
aeromechanics	空氣動力學
aerophilic	需氧的
aerophilous	需氧的
aerosol bomb	浮質
aerosol can	浮質
aerosol container	浮質
aerospace medicine	航空醫學
Aesculus hippocastanum	七葉樹之類
aesthesis	感覺
aesthetical	美學的
Aether	乙醚
affableness	和藹可親
affaire	事
affaire d'honneur	決鬥
affected role	病人
affectedness	假裝
affectional	感情的
affectionateness	影響
afferent nerve	傳入的
affiance	訂婚
affiliated	依戀的
affirmatory	肯定詞
affirmer	宣告者
afflicted	打
afforest	森林
affranchise	給予自治權
affricate consonant	塞擦音
affricative	塞擦音
aflare	發光的
aflicker	閃爍的
African tea	阿拉伯茶
after part	尾部
afters	餐後甜點
against the clock	分秒必爭地
agape love	張口發呆的
agar-agar	石花菜
agate line	繩
Agave sisalana	波羅麻
age bracket	步兵大隊
age group	步兵大隊
agedness	老朽
agenesia	發育不全
agentive role	代理人
agglomerated	使凝聚
agglutinating activity	膠合
aggrandise	刺繡
aggrandisement	增大
aggravator	煩惱
aggregated	集合體
aggregator	收藏家
aggress	攻擊
aggroup	團體
agio	外幣外匯買賣
agism	對老年人的岐視
agitating	激怒的
agitative	激怒的
Agkistrodon contortrix	銅頭蛇
Agkistrodon piscivorus	百步蛇
agnise	認出
agnize	認出
agnostical	不可知論者
agone	以前
agonise	感到極度痛苦
agonising	令人苦悶的
agonistical	好鬥的
agranulosis	粒性白血球缺乏症
agreeability	適合
agrestic	鄉下人
agronomical	農藝學的
aguacate	酪梨
ahorse	馬背
ahorseback	馬背
AI	人工智慧
aigret	白鷺
ailing	厭惡的
Ailuropoda melanoleuca	大熊貓
Ailurus fulgens	熊貓
ain	擁有
air-conditioner	空氣調節裝置
air-cool	給...裝上空調
air-freight	貨物空運
air-ship	貨物空運
air-sleeve	風向袋
air-tight	不透氣的
air-to-surface	空對地的
air bladder	漂流物
air castle	夢想
air cell	齒槽
air current	風
air division	區分
air duct	空中航線
air embolism	氣泡栓塞症
air flow	氣流
air force officer	司令官
air hammer	手提鑽
air hole	空中氣渦
air hose	航線
air hostess	女服務員
air lane	飛行路線
air letter	航空信
air lock	氣閘
air mile	海里
air out	空氣
air passage	空中航線
air power	飛行
air sac	齒槽
air sick	暈機的
air sickness	暈機
air sock	風向袋
air space	上空
air station	空軍基地
air travel	飛行
aircrew	機組
airdock	飛機庫
aired	輕快的
airforce	空軍
airgun	氣槍
airheaded	使頭暈眼花
airlike	氣體的
airline business	航線
airplane pilot	飛行員
airplane propeller	支柱
airs	樣子
airscrew	支柱
airt	重寄
airwave	空氣
airwoman	女飛行員
akee	阿開木
akinesis	運動不能
alabastrine	雪花石膏
alarm system	警報
alary	翼的
Alaskan malamute	愛斯基摩狗
Alauda arvensis	雲雀
Albula vulpes	北梭魚
Alca torda	海雀類
alcalescent	弱鹼性的
Alces alces	麋鹿
alcohol-dependent	酒鬼
alcohol addiction	酒精中毒
alcoholic abuse	酗酒
alcoholic beverage	酒精
alcoholic drink	酒精
alcoholism abuse	酗酒
aldehyde-alcohol	丁間醇醛
alder tree	赤楊
aldermanly	市議員的
alerting	警覺
Aleurites fordii	桐樹
alfilaria	絲狀蟲
alfileria	絲狀蟲
algae	藻類
algarroba	角豆樹
algarroba bean	角豆樹
algebraically	代數的
Algerian dinar	第納爾
alginic acid	褐藻酸
algometrical	痛覺測驗計的
algophilia	變態淫樂
algorithmic program	運算法則
algorithmic rule	運算法則
alikeness	相像
alimental	營養的
alimentary paste	生麵團
aliquot part	能整除
aliveness	卡通製作
alizarine	茜草色素
alkalic	鹼的
alkaliser	解酸劑
alkalizer	解酸劑
alkane series	鏈烷
alky	酒鬼
alkyd resin	醇酸樹脂
alkyl group	烷基的
alkyl radical	烷基的
alkyne	電石氣
all-around	全面的
all-day sucker	棒棒糖
all-embracing	包括一切的
all-encompassing	包括一切的
all-fired	血腥的
all-firedly	血腥的
all-important	決定性的
all-knowing	全知的
all-night	通宵的
all-powerful	全能的
all-terrain bike	登山車
all important	決定性的
all in	敲打
all right	罰金
allayer	救助者
allegement	斷言
Alleghany plum	黑刺李
Allegheny plum	黑刺李
allelomorphic	等位基因的
allemande sauce	阿勒曼德舞
allergic reaction	過敏症
alleviant	緩和的
alleviatory	使減輕之物
alligator pear	酪梨
alligatored	破碎的
alliteratively	頭韻的
Allium ascalonicum	蔥
Allium cepa	洋蔥
Allium cepa aggregatum	蔥
Allium porrum	韭
Allium sativum	大蒜
Allium schoenoprasum	細香蔥
Allium tricoccum	斜面
allmouth	釣魚者
allocator	播送者
allotropical	同素的
allow in	允許進入
allowably	得到許可地
allowance account	補貼
allspice tree	多香果
alluring	誘惑人的
alluvial deposit	沖積層
alluvial sediment	沖積層
alluviation	存款
almandite	鐵鋁榴石
Almighty	全能的
almond-shaped	杏仁岩
alms-giving	施捨
aloneness	孤獨
Alopius vulpinus	打穀者
Alosa pseudoharengus	啤酒店的女主人
alpestrine	亞高山帶的
alpha-beta brass	金
alphabetic character	信
alphabetise	依字母順序排列
alphamerical	文字數位的
alphanumeric display	數位顯示器
alphanumerical	文字數位的
Alpine scurvy	玉蜀黍疹
also-ran	遺失者
also known as	別名
altering	固定
alternating	輪流
alternating electric current	交流電
alternation of generations	異形生殖
althaea	蜀葵
althea	蜀葵
alto relievo	高凸浮雕
alto rilievo	高凸浮雕
altruistically	無私地
aluminium	鋁
aluminium foil	鋁箔
aluminium oxide	礬土
aluminum oxide	礬土
alveolar consonant	齒槽音
amalgamated	使汞齊化
Amaranthus albus	風滾草
Amaranthus graecizans	風滾草
Amaranthus hypochondriacus	蔾
ambage	婉轉曲折的說法
ambagious	婉轉的
ambidextrousness	懷二心
ambitionless	無名利心的
ambivalency	矛盾心理
Ambrosian	似神仙食物的
ameban	變形蟲的
amebiosis	變形蟲引起之傳染病
ameboid	似變形蟲的
amebous	變形蟲的
ameer	酋長
Ameiurus Melas	噘嘴
ameliorating	改善的
amelioratory	改善的
amenableness	順從
amenia	閉經
ament	柔荑花
American aloe	龍舌蘭屬植物
American antelope	叉角羚
American arrowroot	竹芋
American bison	水牛
American bittersweet	又苦又甜的
American buffalo	水牛
American cheese	切達乾酪
American elk	馬鹿
American ivy	忍冬屬植物
American kestrel	茶隼
American larch	美洲落葉松
American oriole	金鶯類
American pennyroyal	薄荷類
American robin	知更鳥
American wormseed	土荊芥屬植物
Amia calva	角鯊魚之一種
amiableness	和藹可親
amicableness	友善
amicably	友善的
amidopyrine	氨基比林
aminic	氨基的
amino group	氨基的
aminoalkane	胺類
aminoalkanoic acid	氨基酸
aminobenzine	苯胺
amir	酋長
ammonia alum	明礬
ammonia water	氨水
ammonium alum	明礬
ammonium hydroxide	氨水
ammonium ion	銨
Ammotragus lervia	鬣羊
ammunition chest	彈藥箱
amnesic	遺忘症患者
amnic	羊膜動物的
amnio	羊膜穿刺術
amnionic	羊膜動物的
amnios	胞衣
amniotic sac	胞衣
amobarbital sodium	藍色
amoeban	變形蟲的
amoebiosis	變形蟲引起之傳染病
amoebous	變形蟲的
amorally	不道德地
amorousness	性愛傾向
amount of money	總數
amour propre	自負
amp	安培
ampere-second	庫侖
amphibiotic	半水生的
amphibious aircraft	兩棲的
amphibious vehicle	兩棲的
amphiprotic	兩性的
amphitheatre	圓形露天劇場
amuck	殺氣騰騰地
amusing	有趣的
amusive	有趣的
amygdaliform	杏仁岩
amygdaloid nucleus	杏仁之類
amygdaloidal	杏仁岩
Amygdalus communis	杏核
amyloidal	澱粉的
Amytal	藍色
Anacardium occidentale	腰果樹
anachronic	時代錯誤的
anachronistically	時代錯誤的
anachronous	時代錯誤的
anadiplosis	複製器
anaerobic exercise	健身法
anaerobiotic	沒有氣而生活的
anaesthetic agent	麻醉劑
anaesthetise	使麻痹
anagrammatise	迴文
anagrammatize	迴文
anal intercourse	雞姦
anal retentive	直腸的
anal sex	雞姦
analogise	以類推來說明
analogue computer	類比電腦
analphabetic	無字的
analphabetism	不識字
analyse	學習
analyser	分析者
analysis situs	地誌學
analytic thinking	分析
analytical geometry	解析幾何學
analyze	學習
anamorphism	失真圖像
Ananas	鳳梨
Ananas comosus	鳳梨
anaplasty	整形手術
Anas acuta	長尾鳧
Anas clypeata	使用鏟子工作者
Anas penelope	赤頸鴨
Anas platyrhynchos	野鴨
anastrophe	倒轉
anathematise	憎恨
anathemise	詛咒
anathemize	詛咒
anatomical reference	解剖的
anatomical sphincter	括約肌
anatomical structure	結構
anatomise	解剖
anatoxin	類毒素
anatropous	反向的
anchor ring	圈
anchorage ground	下錨
anchoritic	隱士的
anchorperson	錨
Anchusa officinalis	朱草
ancientness	古代
and how	的確
and so	那時
androgenetic	男性單性生殖的
androgenic hormone	男性荷爾蒙
androgeny	雄性單性生殖
ane	一
anecdotical	軼話的
anele	塗以油或軟膏
Anemone quinquefolia	雪花蓮
anencephalous	無腦畸型的
aneroid barometer	不用液體的
anesthetic agent	麻醉劑
anesthetise	使麻痹
anesthetize	使麻痹
anestric	不動情期的
anestrum	不動情期
Anethum graveolens	蒔蘿
aneurismatic	動脈瘤的
aneurysmatic	動脈瘤的
angel shark	扁鯊
Angelica Archangelica	天使長
angered	狂怒的
anginose	心絞痛的
anginous	心絞痛的
angiotonin	血管緊縮素
angle bracket	支架
angle of dip	浸泡
angle of inclination	傾向
angler fish	釣魚者
anglerfish	釣魚者
anglicise	使英語化
angriness	生氣
angry walk	莖
angstrom unit	埃
Anguilla sucklandii	鮪
angular shape	有角的部分
angulate	消瘦的
anhinga	投擲者
anhydrosis	汗缺乏
anil	靛青
aniline oil	苯胺
animal-worship	動物崇拜
animal foot	腳
animal nature	獸性
animal scientist	動物學家
animal starch	糖原
animal stuffer	剝製者
animal trainer	操作者
animalculum	微生物
Animalia	動物界
animalisation	獸性
animalise	使像野獸般殘忍
animalization	獸性
animalize	使像野獸般殘忍
animate being	動物
animated	活潑的
animated cartoon	諷刺畫
animise	有生命的
animize	有生命的
anise plant	大茴香
anise seed	大茴香
anisette de Bordeaux	茴香酒
anisometric	非對稱的
Anisotremus surinamensis	彩球
anisotropically	非等方性的
ankle bracelet	短襪
ankle joint	踝
anklets	短襪
annelid worm	環節動物
annelidan	環節動物
annexe	附加物
annihilated	精疲力竭的
annihilating	使乾枯的
annihilative	使乾枯的
annotating	評注
annoyer	揶揄者
annualry	無名指
annulated	環狀的
anodal	陽極的
anodise	陽極電鍍
anoestrous	不動情期的
anoestrum	不動情期
anoestrus	不動情期
anointing	施以塗油禮
anomalously	反常的
anomalousness	異常的人或物
anomic	疏離的
anon.	作者不詳的
anorexic	食慾減退的
anorexigenic	食慾減退的
anorthography	失寫症
anovulant	藥丸
anovulatory drug	藥丸
ANS	自主神經系統
answerability	有責任
answerableness	有責任
answering	應答者
Antabuse	戒酒硫
antagonise	使對抗
antagonistically	反對的
ante up	付清錢款
antecedency	先
antediluvial	古風的
antediluvian patriarch	古風的
antennary	觸角的
antepenultima	倒數第三個音節
antepenultimate	倒數第三個音節
anterior naris	鼻孔
anthelminthic	驅蟲劑
Anthemis nobilis	甘菊
antheral	有雄蕊的
anthesis	開花
anthologise	編選集
anthracite coal	無煙煤
Anthriscus cereifolium	山蘿蔔
anthropogenic	人類起源學的
anthropoidal	類人猿
anthropometrical	人體測量的
anthropomorphous	擬人的
anthropophagite	食人者
anthropophagus	食人者
anti-intellectual	非利士人
anti-personnel bomb	碎裂彈
anti-Semite	種族主義者
antiacid	解酸劑
antiaircraft gun	對付飛機的
antianxiety agent	鎮定劑
antibacterial drug	抗細菌的
antiberiberi factor	硫胺素
antibiotic drug	抗菌素
antiblack	種族主義者
anticholinergic drug	反副交感神經作用的
anticlimactical	突降法的
anticoagulant medication	抗凝血劑
antidepressant drug	抗抑鬱劑
antidiuretic drug	抑制尿分泌的
antidiuretic hormone	垂體後葉荷爾蒙
antiemetic drug	止嘔吐的
antifeminism	男性沙文主義
antifertility	避孕劑
antifungal agent	抗真菌的
antigenic determinant	決定因素
antiknocking	抗震劑
Antilocapra americana	叉角羚
antilog	逆對數
antimalarial drug	抗瘧疾的
antimicrobic	消毒劑
antimonious	含銻的
antimonopoly	反壟斷的
antimycotic	抗真菌的
antimycotic agent	抗真菌的
antineoplastic drug	防腫瘤的
antipathetical	討厭的
antipernicious anemia factor	維他命B12
antipersonnel bomb	碎裂彈
antipodal opposition	對蹠的
antipodean	對蹠的
antipsychotic agent	安定藥
antipsychotic drug	安定藥
antiquate	古董
antispasmodic agent	止痙攣的
antithetically	對偶法的
antitumor	抗癌的
antitumour	抗癌的
antivenene	抗蛇毒血清
antiviral agent	抗濾過性病原體的
antiviral drug	抗濾過性病原體的
antlion	蟻獅
antlion fly	蟻獅
anuran	蛙
anuric	尿閉的
anurous	無尾的
anxiousness	憂慮
anyways	總之
aortal	大主動脈的
apatosaur	雷龍
apatosaurus	雷龍
Apatosaurus excelsus	雷龍
ape-man	一系列互相關聯事物中缺少的一環
apelike	類人猿
aper	無主見的傢伙
apery	模仿
apex of the sun's way	頂
aphrodisiacal	春藥
apiculture	養蜂
apiculturist	養蜂人
Apios americana	落花生
Apios tuberosa	落花生
Apis mellifera	蜜蜂
Apium graveolens dulce	芹菜
apologise	道歉
apomictical	單性繁殖的
aposelene	遠月點
apostolical	羅馬教宗的
apostrophise	加省略符號
apothecaries' ounce	盎司
apothecary's shop	藥房
apothegmatical	格言的
appal	衝擊
appall	衝擊
appalled	驚駭的
appareled	穿好衣服的
apparent horizon	地平線
apparent motion	運動
apparent movement	運動
apparitional	鬼似的
appealingness	請求
appeals court	受理上訴的法院
appearing	外表
appeasing	撫慰的
appellative	名稱
appendicectomy	割盲腸
appetence	愛好
appetiser	開胃食品
appetising	開胃的
appetite suppressant	遏抑劑
applaudable	值得讚美的
applauder	拍手者
apple of Peru	曼陀羅
apple polisher	拍馬屁
application program	申請
applications programme	申請
applied science	工程
applied scientist	工程師
applier	請求者
apportioning	配給的土地
apposable	可反對的
appositional	同位格的
appositively	同位格的
appreciativeness	感謝
apprehender	認識者
apprehensiveness	恐懼
apprenticed	邊界
apprisal	有效的
approach path	門徑
approach pattern	花樣
approach shot	門徑
approaching	門徑
approbative	肯定詞
approbatory	肯定詞
approving	祝福
approximate range	棒球場
approximative	近似
apricot tree	杏子
apteral	無翅的
apyretic tetanus	手足抽搐
Aqua-Lung	水中呼吸器
aqua fortis	硝酸
aquacultural	水栽的
aqualung	水中呼吸器
aquaphobic	狂犬病的
aquatic plant	水生植物
aquicultural	水栽的
aquilege	耬鬥菜
aquilegia	耬鬥菜
Aquilegia canadensis	忍冬
Ar	氬
Arab chief	家長
Arabian camel	單峰駱駝
Arabian tea	阿拉伯茶
Arachis hypogaea	花生
arachnidian	蛛網狀的
arachnoid membrane	蛛網狀的
arb	從事於套利之人
arbalist	石弩
arbitrement	公斷
arboraceous	樹林中的
arborary	樹木的
arboreous	樹木的
arboresque	樹木的
arborical	樹木的
arboriculturist	林務員
arboriform	樹木的
arborous	樹木的
arborvirus	蟲媒病毒
arcanum	秘密
arcdegree	程度
arced	弓形結構的
archaeologic	考古學的
archaicism	古文體
archangelical	大天使的
archeologic	考古學的
archeological remains	剩餘
archeological site	刺
archepiscopal	總主教的
archesporium	孢子的細胞
arching	弓形結構的
architectural plan	計劃
archly	拱門
archpriest	大主教
arcminute	分
arcsecond	秒
arcus zygomaticus	顴骨
arere	森巴舞曲
argonaut	鸚鵡螺
Argonauta argo	鸚鵡螺
argonon	惰性氣體
arguer	討論者
argufy	爭吵
arguing	論爭
argus-eyed	目光銳利的
argus pheasant	阿加斯
argy-bargy	爭論
argyll	有多種顏色菱形圖案的編織物
Argyranthemum frutescens	雛菊
arial mosaic	馬賽克
aridness	乾旱
aristocratical	貴族的
aristocratically	貴族的
Aristotelean	走來走去的人
Aristotelic	走來走去的人
arles	定金
arm band	小海灣
armed combat	爭鬥
armed service	兵役
armed services	軍隊
Armerican cheddar	切達乾酪
armguard	支持物
arming	軍備
armor plating	鋼板
Armoracia rusticana	山葵
armored combat vehicle	櫃
armorial bearing	指控
armour	盔甲
armour plate	鋼板
armoured	裝甲的
armoured car	裝甲車
armoured combat vehicle	櫃
armourer	兵器製造者
armoury	軍械庫
arms-runner	軍火走私者
army hut	小屋
army tank	櫃
army worm	夜盜蛾
aroid	海芋植物
aromatise	香味
aromatize	香味
around the bend	溫和的
around the clock	日以繼夜地
aroused	角的
arouser	喚醒者
arranging	安排
arrested development	定置
arrester hook	逮捕者
arrhythmical	沒有節奏的
arriere pensee	保留
arrivederci	再見
arriver	到達
arriviste	暴富者
arse	臀部
arse about	流浪漢
arse around	流浪漢
arsehole	屁眼
arsenic group	二甲砷基
arsenic trioxide	砷
arsenous anhydride	砷
arsenous oxide	砷
art gallery	走廊
art object	藝術品
Artemisia absinthium	苦艾酒
Artemisia dracunculus	龍嵩
Artemisia stelleriana	老太婆
arteria	動脈
arteria coronaria	冠狀動脈
arterial blood vessel	動脈
arterial sclerosis	動脈硬化
arteriola	小動脈
artichoke plant	朝鮮薊
article of clothing	衣服
article of faith	定罪
article of furniture	家具
articled	邊界
articulary	關節的
articulated lorry	裝備
articulately	善辯地
articulateness	流利
articulatio	連接處
articulatio coxae	臀部
articulatio cubiti	手肘
articulatio genus	膝
articulatio humeri	肩
articulatio radiocarpea	手腕
articulatio spheroidea	球窩關節
articulatio synovialis	動關節
articulatio talocruralis	踝
articulative	分節的
artificial lake	蓄水庫
artificial pacemaker	領跑者
artificial satellite	人造衛星
artillery unit	火炮
artist's model	就座者
artist's workroom	工作室
artistic creation	藝術
artistic production	藝術
artistic style	成語
Artocarpus altilis	麵包樹
Artocarpus communis	麵包樹
arts	文科
artwork	藝術
arugula	飛彈
arui	鬣羊
arum lily	水芋
arytaenoid	杓狀軟骨
arytenoid cartilage	杓狀軟骨
as a group	全體
as if by magic	如魔法般地
as luck would have it	幸運地
as we say	可以說
asa dulcis	安息香膠
asafoetida	伊朗﹑阿富汗的橡膠樹脂
ascendable	爬得上去的
ascendency	優勢
ascendible	爬得上去的
ascensive	優勢
ascesis	禁慾主義
ascetical	禁欲者
ASCII control character	控制字元
ascomycetous fungus	子囊菌類
asea	朝海的
ash-bin	垃圾桶
ash-blonde	毛髮帶淡黃色的
ash-gray	灰的
ash-grey	灰的
ash bin	垃圾桶
ash gray	銀
ash grey	銀
ash tree	灰
ashbin	垃圾桶
ashcan	垃圾桶
Asiatic buffalo	水牛
Asiatic cholera	霍亂
Asimina triloba	巴婆樹
ask for it	自找麻煩
ask in	邀請
ask out	問
ask over	邀請
ask round	邀請
asking price	銷售價格
aslope	傾斜地
asp viper	白楊
Asparagus asparagoides	牛尾菜屬植物
Asparagus officinales	蘆筍
Asperula odorata	車葉草
aspherical	非球狀的
Aspidistra elatio	蜘蛛抱蛋
aspirer	懷抱大志者
aspiring	懷抱大志者
ass-kisser	拍馬屁的人
Assam rubber	橡膠植物
assault and battery	電池
assay-mark	確證
assembling	收藏
assembly program	裝配工
assenting	即位
assertable	可斷言的
asserter	宣告者
asserting	宣言的
asseverate	聲稱
asseverator	宣告者
assibilation	齒擦音發音
assiduousness	勤勉
assigning	功課
assimilating	同化的
assimilator	學習者
assimilatory	同化的
associate degree	夥伴
associated state	攝政
association football	英式足球
associatory	聯合的
assoil	宣告...無罪
assuredness	沈著
asterisked	佈滿星星的
astheny	無力
asthma attack	哮喘
astigmia	亂視
Astilbe japonica	繡線菊屬植物
astonishing	令人驚異的
astounding	搖晃欲倒的
astragal	踝骨
astringence	收斂性
astringent drug	收斂劑
astrologist	占星家
astronomical year	太陽年
asymmetrically	不均勻的
asynclitism	斜
asynergia	不能協同
at-bat	球棒
at a loss	不知所措的
at a low price	非常便宜地
at a lower place	在下面
at a time	馬上
at an equal rate	按同比例地
at any expense	不惜任何代價
at the best	至多
at the least	最低限度
Atabrine	奎納克林
atar	玫瑰油
ataractic agent	鎮定劑
ataractic drug	鎮定劑
ataraxic	鎮靜的
ataraxis	和平
ataxy	運動失調
ateleiosis	發育不完全
athar	玫瑰油
atherodyde	噴射推進引擎
atheromatic	動脈粥樣化的
athletic competition	體育運動
athletic contest	體育運動
athletic field	領域
athletic supporter	支持者
athletic type	運動型體格
athletic wear	運動裝
athodyd	噴射推進引擎
atlas vertebra	地圖集
atmospheric condition	天氣
atmospheric state	大氣
atmospheric static	靜的
atom smasher	加速裝置
atomic mass	原子量
atomic number 1	氫
atomic number 10	氖
atomic number 100	鐨
atomic number 101	鍆
atomic number 102	原子序102的元素
atomic number 103	鐒
atomic number 11	鈉
atomic number 12	鎂
atomic number 13	鋁
atomic number 14	矽
atomic number 15	磷
atomic number 16	硫
atomic number 17	氯
