a	累加器
acid	酸
acid rain	酸雨
acid rock	酸性岩
acid salt	酸式鹽
acid test	硝酸試金法
acid-fast	耐酸的
acidic	成酸的
acidify	使變酸
acidimetry	酸量法
acidity	酸性
acidly	尖刻地
acidophil	嗜酸的
acidophilic	嗜酸的
acidosis	酸中毒
acidulate	使酸化
acidulous	帶酸味的
acinus	小核果
ack emma	上午
ack-ack	高射砲
acknowledge	承認
acknowledged	公認的
acknowledgement	承認
aclinic line	無傾線
acme	頂點
acne	痤瘡
acolyte	侍僧
aconite	烏頭
aconitine	烏頭堿
acorn	橡樹果實
acotyledon	無子葉植物
acoustic	聽覺的
acoustic coupler	聲音耦合器
acoustic impedance	聲阻抗
acoustic shock	聲震
acoustician	聲學家
acquaint	使認識
acquaintance	認識
acquiesce	默許
acquiescence	默許
acquiescent	默許的
acquire	獲得
acquired character	獲得
acquirement	取得
acquisition	獲得
acquisitive	渴望獲得的
acquit	無罪釋放
acquittal	履行
acquittance	債務豁免書
acre	英畝
acreage	英畝數
acrid	苦味的
Acrilan	阿克利綸
acrimonious	尖刻的
acrimony	嚴厲
acrobat	表演特技者
acrobatic	雜技演員的
acrobatics	雜技
acrocyanosis	手足發紺
acromegaly	肢端肥大症
acropetal	趨向頂端的
acrophobia	恐高症
across	越過
acrostic	離合詩
acrylate	丙烯酸鹽
acrylic	丙烯酸的
acrylic acid	丙烯酸
act	行動
act of state	國家行為
actin	肌動蛋白
acting	演戲
actinic	光化的
actinide	錒系元素
actinium	錒
actinolite	陽起石
action	行動
action potential	動作電位
activate	使活動
activated carbon	活性炭
activated sludge	活性污泥
activation analysis	活化分析
activation energy	活化能
active	活躍的
active carbon	活性炭
active duty	現役
active immunity	自動免疫性
active service	現役
active site	活性部位
active transport	主動轉運
activism	激進主義
activity	活動
actomyosin	肌纖凝蛋白
actor	男演員
actress	女演員
actual	真實的
actuality	事實
actualize	實行
actually	事實上
actuary	保險計算員
actuate	開動
actus reus	被告的行為
acuity	尖銳
aculeate	有刺的
acumen	敏銳
acuminate	尖的
acupressure	針壓法
acupuncture	針刺
acushla	愛人
acute	尖銳的
acute abdomen	急腹症
acute rheumatism	急性風濕病
acutely	尖銳地
ACW	存取控制字
acyclic	非週期的
ad	廣告
ad hoc	特別地
ad hominem	訴諸感情地
ad infinitum	無限地
ad interim	暫時
ad libitum	隨意
ad nauseam	令人作嘔地
ad rem	中肯地
ad valorem	按價
ad-	至
ad-lib	即興編造
adage	格言
adagio	緩慢地
Adam	亞當
Adam's ale	水
Adam's apple	喉結
adamant	堅硬的東西
adamantine	非常堅硬的
adapt	使適應
adaptable	能適應的
adaptation	適應
adaption	適應
adaptive	適應的
adaptor	改編者
adaxial	近軸的
add	增加
add-on	比例附加
addax	旋角羚
added value	增值價值
addend	加數
addendum	補遺
adder	虺蛇
addict	使沉溺
addicted	沉溺于
addiction	入迷
addictive	上癮的
Addison's disease	阿狄森氏病
addition	加法
addition reaction	加成
additional	附加的
additionally	另外
additive	添加的
addle	使昏亂
addlebrained	頭腦糊塗的
address	住址
addressable	可尋址的
addressee	收件人
adduce	引證
adduct	使內收
adductor	內收肌
Aden	亞丁
adenine	腺嘌呤
adeno-	腺
adenocarcinoma	腺癌
adenoids	腺樣增殖體
adenoma	腺瘤
adenovirus	腺病毒
adept	熟練的
adequacy	適當
adequate	適當的
ADH	抗利尿激素
adhere	依附
adherent	信徒
adhesion	附著
adhesive	粘著的
adhibit	貼
adiabatic	絕熱的
adiantum	鐵線蕨屬
adieu	再見
adipate	己二酸鹽
adipic acid	己二酸
adipocere	屍蠟
adipose	動物脂肪的
adit	入口
adjacent	毗連的
adjective	形容詞
adjoin	鄰接
adjoining	鄰接的
adjourn	休會
adjournment	延期
adjudge	宣判
adjudicate	判決
adjudication	判決
adjudicator	評判員
adjunct	附屬物
adjunction	附加
adjure	懇請
adjust	調整
adjustable	可調節的
adjustment	調整
adjutant	助手
adjuvant	輔助的
adman	廣告撰寫員
admeasurement	分配
adminicle	輔助物
administer	管理
administrate	管理
administration	行政
administrative	管理的
administrative law	行政法
administrator	管理人
administratrix	女管理人
admirable	可欽佩的
admiral	艦隊司令
admiration	贊賞
admire	贊美
admirer	欽佩者
admissible	可進入的
admission	準許進入
admit	承認
admittance	進入
admittedly	公認地
admix	使混合
admixture	混合
admonish	警告
admonition	警告
admonitory	警告的
adnate	貼生的
adnexa	附件
ado	紛擾
adobe	風幹土坯
adolescence	青春期
adolescent	青春期的
Adonis	阿多尼斯
adopt	採用
adoption	採用
adorable	可崇拜的
adoral	近口的
adoration	崇拜
adore	崇拜
adorn	裝飾
adornment	裝飾
ADR	地址
adrenal	腎上的
adrenalin	腎上腺素
adrift	漂流地
adroit	靈巧的
adscititious	外加的
adsorb	吸附
adsorbate	被吸附物
adsorbent	吸附的
adulate	諂媚
adulation	諂媚
adulatory	諂媚的
adult	成人
adulterant	摻雜用的
adulterate	摻雜
adulterer	奸夫
adulteress	奸婦
adulterine	通奸的
adulterous	通奸的
adultery	通奸
adumbrate	畫
adust	烤幹的
advance	前進
advance man	先遣人員
advanced	在前的
advanced degree	高級學位
advanced level	英國
advancement	前進
advantage	優點
advantageous	有利的
advection	平流
advent	來到
adventitia	外膜
adventitious	偶然的
adventure	冒險
adventurer	冒險家
adventuresome	冒險性的
adventuress	女冒險家
adventurism	冒險主義
adventurous	喜歡冒險的
adverb	副詞
adverbial	副詞的
adversary	敵手
adversative	表示相反的
adverse	不利的
adverse possession	相反佔有權
adversity	逆境
advert	提出看法
advertise	做廣告
advertisement	廣告
advertising	廣告業
advice	忠告
advisability	明智
advisable	適當的
advise	勸告
advised	考慮過的
advisedly	經過考慮地
advisement	深思熟慮
adviser	顧問
advisory	顧問的
advocacy	擁護
advocate	提倡者
advowson	牧師推薦權
adytum	內殿
adze	扁斧
AE	絕對誤差
AEC	自動糾錯
Aegean	愛琴海的
aegis	羊皮盾
Aeneid	埃涅伊特
aeolian	風的
aeon	永世
AER	氣壓單位
aerenchyma	通氣組織
aerial	空中的
aerial ladder	雲梯
aerial perspective	色彩配景
aero	飛機的
aero-	氣
aerobatics	特技飛行
aerobe	需氧菌
aerobic	需氧的
aerobiology	空氣生物學
aerodrome	飛機場
aerodynamics	空氣動力學
aerodyne	飛車
aeroelasticity	氣動彈性
aerofoil	機翼
aerogel	氣凝膠
aerogramme	無線電報
aerolite	石隕石
aerology	高空氣象學
aeromagnetic	空氣磁性
aeromedical	航空醫學
aeromedicine	航空醫學
aeronaut	氣球駕駛員
aeronautics	航空學
aerophagia	吞氣症
aerophagy	吞氣症
aerophone	氣鳴樂器
aeroplane	飛機
aerosol	煙
aerospace	航天空間
aerosphere	大氣圈
aerostat	浮空器
Aesop	伊索
aesthete	審美家
aesthetic	美學的
aestheticism	唯美主義
aesthetics	美學
aestivate	過夏季
aestivation	夏蟄
aet.	年齡
aetiology	原因的說明
AF	音頻
afar	由遠處
afebrile	無熱的
affability	和藹
affable	和藹可親的
affair	事件
affect	影響
affectation	假裝
affected	假裝的
affecting	感人的
affection	影響
affectionate	深情的
affective	情感的
afferent	傳入的
affiance	信賴
affiant	宣誓者
affidavit	宣誓書
affiliate	使緊密聯系
affiliation	聯系
affinal	同源的
affine	仿射的
affinity	吸引
affirm	斷言
affirmation	肯定
affirmative	肯定的
affix	使附于
afflatus	靈感
afflict	使苦惱
affliction	苦惱
affluence	富裕
affluent	豐富的
afflux	流向
afford	買得起
affordable	普及型
afforest	造林于空地
affranchise	恢復自由
affray	吵架
affricate	塞擦音
affright	驚嚇
affront	公開侮辱
Afghan	阿富汗的
afghani	啊富汗尼
Afghanistan	阿富汗
aficionado	狂熱愛好者
afield	離開著
afire	燃燒的
aflame	燃燒中的
aflatoxin	黃曲霉毒素
afloat	飄浮著的
aflutter	飄揚的
afoot	徒步的
afore	在前
aforementioned	上述的
aforesaid	上述的
afoul	衝撞著
afraid	害怕的
afreet	惡魔
afresh	重新
Africa	非洲
African	非洲人
Afrikaans	南非荷蘭語
Afrikaner	南非白人
Afro-American	美國黑人
aft	在船尾
after	在
after-effect	副作用
after-image	更新後圖象
afterbirth	胞衣
afterburner	加力燃燒室
afterdamp	爆後氣體
afterdeck	後甲板
afterglow	晚霞
afterlife	來世
aftermath	結果
aftermost	最後的
afternoon	午後
afterpains	產後痛
aftershock	餘震
aftertaste	回味
afterthought	事後的想法
afterwards	然後
afterword	後記
ag	農業的
aga	將軍
again	再一次
against	反對
Agamemnon	阿伽門農
agamic	無性的
agape	張口發呆的
agar	瓊脂
agaric	傘菌
agarose	瓊脂糖
agate	瑪瑙
agave	龍舌蘭
age	年齡
age hardening	老化變硬
age of consent	合法年齡
age-old	古老的
aged	老的
ageing	變老
ageism	年齡歧視
ageless	不老的
agency	代理機構
agenda	議程
agent	代理商
agent provocateur	奸細
agglomerate	大團
agglomeration	結塊
agglutinate	粘著的
agglutinative	粘性的
agglutinin	凝集素
agglutinogen	凝集原
aggrandize	增加
aggravate	使惡化
aggravation	惡化
aggregate	合計
aggression	侵犯
aggressive	侵略的
aggressor	侵略者
aggrieved	受委屈的
aghast	驚駭的
agile	敏捷的
agio	貼水
agitate	使搖動
agitated	不安
agitation	激動
agitator	煽動者
agitprop	宣傳鼓動
aglet	金屬小箍
agley	斜斜地
aglow	發光的
agnail	逆剝
agnate	男方親屬的
agnosia	認識不能
agnostic	不可知論者
ago	以前
agog	興奮著的
agonic line	無偏線
agonist	主動肌
agonistic	競賽的
agonize	使極度痛苦
agonized	極度痛苦的
agonizing	折磨人的
agony	極大的痛苦
agony column	私事廣告欄
agora	集會
agoraphobia	廣場恐怖症
agouti	刺豚鼠
agrammatism	語法缺失
agraphia	書寫不能
agrarian	土地的
agree	同意
agreeable	令人愉快的
agreement	同意
agrestic	鄉土的
agricultural	農業的
agriculture	農業
agrimony	龍芽草
agrobiology	農業生物學
agrochemical	農用化學品
agrology	土壤學
agronomy	農藝學
aground	擱淺地
ague	瘧疾
ah	啊
aha	啊哈
ahead	領先的
ahem	呃哼
ahimsa	不傷生
ahistorical	歷史無關的
ahoy	喂
ai	附加信息
aid	幫助
aide	助手
aide-de-camp	副官
AIDS	愛滋病
aiguille	尖峰
aiguillette	肩帶
ail	使苦惱
aileron	副翼
ailing	生病的
ailment	病痛
ailurophobia	貓恐怖
aim	目標
aimless	無目的的
ainhum	阿洪病
Ainu	阿伊努人
air	空氣
air bearing	空氣軸承
air bladder	氣囊
air brake	氣閘
air cleaner	空氣濾清器
air cooler	空氣冷卻器
air cushion	氣墊
air dam	通風遮斷壁
air filter	空氣過濾器
air force	空軍
air horn	氣笛
air hostess	空中小姐
air letter	航空信
air mass	氣團
air pocket	氣阱
air pump	氣泵
air raid	空襲
air shaft	通風井
air shot	緩衝爆破
air-cooled	空氣冷卻式
air-dry	晾幹
air-to-air	空對空的
air-to-ground	空對地的
airbag	空氣囊
airboat	氣艇
airborne	升空的
airbrush	噴槍
airburst	空中爆炸
airbus	空中客車
aircraft	航空器
aircraft carrier	航空母艦
aircraftman	空軍士兵
aircrew	空勤組
airdrome	飛機場
airdrop	空投
airfield	飛機場
airflow	空氣的流動
airfoil	機翼
airframe	機身
airfreight	貨物空運
airglow	氣輝
airhead	空降物
airily	輕盈地
airing	晾
airless	無空氣的
airlift	空運
airline	航線
airliner	班機
airlock	氣塞
airmail	航空郵件
airman	飛行員
airmanship	飛行技術
airplane	飛機
airport	飛機場
airscrew	空氣螺旋槳
airship	飛艇
airsick	暈機的
airspace	空域
airspeed	空速
airstream	氣流
airstrip	飛機跑道
airtight	氣密的
airway	空中航線
airy	空氣的
aisle	走廊
ait	河中的小島
aitchbone	牛的臀骨
ajar	微開的
ajinomoto	味之素
ajowan	印度藏茴香
AK	確認
aka	的縮寫
akathisia	靜坐不能
akimbo	兩手叉腰的
akin	同類的
akinesia	運動不能
Al	算法語言
ALA	翼
Alabama	亞拉巴馬州
alabaster	雪花石膏
alacrity	敏捷
Aladdin	阿拉丁
Aladdin's lamp	阿拉丁神燈
alameda	林蔭散步道
alanine	丙氨酸
alar	翼的
alarm	驚恐
alarm bell	警鈴
alarm call	緊急號
alarm clock	鬧鐘
alarming	使人驚恐的
alarmist	輕事重報者
alas	唉
Alaska	阿拉斯加州
alate	有翼的
alba	腦白質
Albania	阿爾巴尼亞
Albany	奧爾巴尼
albatross	信天翁
albedo	反照率
albeit	盡管
albescent	正在變白的
albino	白化病者
Albion	阿爾比恩
albite	鈉長石
album	粘貼簿
albumen	蛋白
albumin	清蛋白
albuminoid	蛋白質的
albuminous	白蛋白的
albuminuria	蛋白尿
alburnum	邊材
alcalde	市長
alchemy	鍊金術
Alcian blue	阿爾新藍
Alclad	14 阿爾克拉德純鋁覆面的硬鋁合金
alcohol	酒精
alcoholic	酒鬼
alcoholism	酗酒
alcove	凹室
aldehyde	醛
alder	榿木
Aldine	阿爾定版的
aldol	羥醛
aldosterone	醛固酮
ale	麥芽酒
alee	在下風的
alembic	蒸餾器
Aleppo	阿勒波
Aleppo gall	沒食子
alert	警覺的
alertness	警戒
aleurone	糊粉
alexandrite	變色寶石
alexia	失讀症
alfalfa	苜蓿
alga	藻類
algebra	代數學
algebraic	代數的
Algeria	阿爾及利亞
algicide	殺藻劑
Algiers	阿爾及爾
alginate	藻酸鹽
alginic acid	海藻酸
algo-	痛
algolagnia	受虐狂
algology	藻類學
algorithm	算法
alias	別名
aliasing	別名使用
alicyclic	脂環烴的
alidade	照準儀
alien	外國人
alienable	可讓與的
alienate	使疏遠
alienation	疏遠
alienee	財產受讓人
alienist	精神病醫生
alienor	財產讓渡人
aliform	翼狀的
alight	落下
align	排列
alignment	隊列
alike	相似的
aliment	食物
alimentary	飲食的
alimentary canal	消化道
alimentation	營養
alimony	瞻養費
aliphatic	脂肪族的
aliquot	整除數
alisphenoid	蝶骨大翼的
alive	活著的
alkahest	萬能溶劑
alkali	堿
alkali metal	堿金屬
alkaline	堿的
alkaline battery	堿性電池
alkaline earth	鹼土
alkalize	使成堿性
alkaloid	生物堿
alkalosis	堿中毒
alkane	烷烴
alkanet	紫朱草
alkene	烯烴
alkyd	醇酸樹脂
alkyl	烷基
alkylate	烷基化物
alkyne	炔
all	所有的
all right	好
All Saints' Day	萬聖節
all-American	全美最佳的
all-around	全面的
all-day	全天的
all-embracing	包括一切的
all-fired	極度的
all-important	非常重要的
all-in	包括一切的
all-inclusive	包括一切的
all-night	通宵的
all-powerful	全能的
all-purpose	通用的
all-round	多面的
all-rounder	全能運動員
all-star	全明星的
all-time	全部時間的
all-weather	全天候的
Allah	安拉
allanite	褐簾石
allantoin	尿囊素
allantois	尿囊
allay	使平靜
allegation	斷言
allege	宣稱
alleged	被斷言的
allegedly	依其申述
allegiance	忠貞
allegorical	寓言的
allegory	寓言
allegretto	稍快地
allegro	急速地
allele	等位基因
allelomorph	等位基因
Allen screw	艾倫螺旋
allergen	變
allergic	對
allergy	變應性
alleviate	減輕
alley	小路
alleyway	小巷
alliaceous	蔥的
alliance	聯盟
allicin	蒜素
allied	聯盟的
alligator	短吻鱷
alligator clip	鱷魚夾
alliterate	用頭韻法
alliteration	頭韻
alliterative	頭韻的
allium	蔥屬
allo-	別
allocate	分派
allocation	配置
allochthonous	移置的
allocution	訓示
allogamy	異花受粉
allogeneic	同種異體的
allogenic	同種異體的
allograft	同種移植物
allograph	書寫變體
allometry	體形變異
allomorph	詞素變體
allonge	票據的粘單
allopathy	對抗療法
allophone	音位變體
allopurinol	別嘌醇
allosteric	變構的
allot	分配
allotment	分配
allotrope	同素異形體
allotropy	同素異形
allow	允許
allowable	允許的
allowance	津貼
alloy	合金
allseed	多子植物
allspice	多香果
allude	暗指
allure	引誘
alluring	吸引人的
allusion	提及
allusive	暗指的
alluvial	衝積的
alluvion	衝積層
alluvium	衝積層
ally	同盟者
allyl	烯丙基
alma mater	豐饒之母
almanac	年歷
almandine	貴榴石
almighty	萬能的
almond	杏仁
almond oil	杏仁油
almond paste	苦扁桃糊
almoner	施賑人員
almonry	施賑所
almost	幾乎
alms	施舍
almshouse	救濟院
aloe	蘆薈
aloe vera	庫拉索蘆薈
aloft	在高處
aloha	喂
alone	孤獨的
along	平行地
alongshore	沿著岸
alongside	在旁邊
aloof	遠離的
alopecia	脫發
aloud	出聲地
alow	在艙底
alp	高山
alpaca	羊駝
alpenglow	高山輝
alpenhorn	木制長號角
alpenstock	鐵頭登山杖
alpha	11 希臘字母表的第一個字母
alpha particle	粒子
alpha radiation	幅射
alpha rhythm	節律
alpha test	甲種測驗
alphabet	字母
alphanumeric	字母數字的
alpine	高山的
alpinist	登山家
alprazolam	阿普唑侖
already	已經
Alsace	阿爾薩斯
also	也
also-ran	落選的馬
Alt	高音調
Altaic	阿爾泰山的
Altair	牽牛星
altar	聖壇
altazimuth	地平經緯儀
alter	改變
alteration	變更
altercate	爭論
altercation	爭論
alternant	交互的
alternate	交替的
alternating current	交流電
alternation of generations	世代交替
alternative	兩者擇一
alternatively	非此即彼
alternator	交流發電機
althorn	中音薩克號
although	雖然
altimeter	高度計
altimetry	測高法
altitude	高度
altitude sickness	高空病
alto	女低音
altocumulus	高積雲
altogether	完全地
altostratus	高層雲
altruism	利他主義
altruistic	利他的
ALU	運算器
aludel	梨
alula	小翼羽
alum	明礬
alumina	礬土
aluminium	鋁
aluminium bronze	鋁青銅
aluminize	鋁化
aluminosilicate	硅鋁酸鹽
aluminous	明礬的
alumna	女畢業生
alumnus	男畢業生
alveolar	牙槽的
alveolitis	牙槽炎
alveolus	小窩
always	總是
amacrine cell	無長突細胞
amadou	火絨
amah	奶媽
amalgam	汞合金
amalgamate	使汞齊化
amalgamation	汞齊化
amanuensis	筆記者
amaranth	不凋花
amaryllis	孤挺花
amass	積聚
amateur	業餘愛好者
amateurish	業餘的
amatol	阿馬託炸藥
amatory	戀愛的
amaurosis	黑朦
amaze	使吃驚
amazement	驚愕
amazing	令人驚異的
Amazon	亞馬孫河
ambassador	大使
ambassador plenipotentiary	全權大使
ambassador-at-large	無任所大使
ambassadress	大使夫人
amber	琥珀
ambergris	龍涎香
ambidextrous	兩手俱利的
ambience	週圍環境
ambient	週圍的
ambiguity	不明確
ambiguous	不明確的
ambisexual	兩性的
ambit	週圍
ambition	野心
ambitious	有野心的
ambivalence	矛盾情緒
ambivalent	矛盾的
ambivert	中間性格者
amblyopia	弱視
ambo	讀經台
Ambon	關節盂緣
ambrosia	仙果
ambulance	救護車
ambulant	走動的
ambulate	移動
ambulatory	步行的
ambuscade	埋伏
ambush	埋伏
AME	誤差平均值
amebic dysentery	阿米巴
ameliorate	改善
amelioration	改善
amen	阿門
amenable	服從的
amend	修改
amendment	修訂
amends	賠償
amenity	便利設施
amenorrhoea	經閉
ament	柔荑花序
amentia	智力缺陷
amercement	罰款
America	美洲
American	美國人
American Federation of Labor	勞聯
American football	美式足球
Americanize	使美國化
Ames test	艾姆斯試驗
amethyst	紫水晶
amiability	和藹可親
amiable	親切的
amianthus	石麻
amicable	友善的
amice	白麻布披巾
amid	在其間
amidships	在船體中部
amidst	在
amigo	朋友
amine	胺
amino	氨基的
amino acid	氨基酸
amir	埃米爾
amiss	有毛病的
amitotic	無絲分裂的
amitriptyline	阿米替林
amity	友好
Amman	安曼
ammeter	安培計
ammo	軍火
Ammon	阿蒙神
ammonia	氨水
ammoniacal	含氨的
ammoniated	充氨的
ammonium	銨
ammonium carbonate	碳酸銨
ammonium chloride	氯化銨
ammonium nitrate	硝酸銨
ammunition	軍火
amnesia	健忘症
amnesty	大赦
amniocentesis	羊膜穿刺術
amnion	羊膜
amniote	羊膜動物
amniotic	羊膜的
amniotic fluid	羊
amoeba	阿米巴
amoebiasis	阿米巴病
amok	亂砍亂殺
among	在
amontillado	白葡萄酒
amorist	談情說愛者
amorous	多情的
amorphous	無定形的
amortize	攤還
Amos	阿摩司
amosite	鐵石棉
amount	總數
amour	偷情
ampelopsis	蛇葡萄
amperage	安培數
ampere	安培
ampersand	號
amphetamine	苯丙胺
amphi-	兩
amphibian	兩棲類的
amphibious	水陸兩棲的
amphibole	閃石
amphibolite	閃岩
amphimixis	兩性融合
amphioxus	文昌魚
amphipathic	兩親的
amphisbaena	兩頭蛇
amphitheatre	圓形劇場
amphora	瓶狀體
amphoteric	兩性的
ample	大量的
amplexus	抱合
amplifier	擴大的人
amplify	增強
amplitude	廣闊
amplitude modulation	調幅
ampoule	安瓿
ampulla	兩耳細頸瓶
amputate	切斷
amputee	被截肢者
Amsterdam	阿姆斯特丹
amtrac	水陸兩用車
amulet	護身符
amuse	消遣
amusement	興味
amusing	有趣的
amygdala	巴旦杏
amygdaloid	扁桃樣的
amyl	戊基
amyl nitrate	硝酸戊酯
amyl nitrite	亞硝酸
amyloid	澱粉的
amyloidosis	澱粉樣變性
amylopectin	支鏈澱粉
amylose	直鏈澱粉
amyotrophic lateral sclerosis	肌萎縮性
amyotrophy	肌萎縮
Amytal	阿米妥
an	一
ana	言論集
ana-	遙
Anabaptism	再洗禮
anabasis	進軍
anabatic	上升的
anabiosis	失水休眠
anabolic	合成代謝的
anabolism	合成代謝
anabranch	再會流
anachronism	時代錯誤
anaclitic	情感依附的
anacoluthon	改變說法
anadromous	溯河產卵的
anaemia	貧血
anaemic	貧血的
anaerobe	厭氧菌
anaerobic	厭氧的
anaesthesia	麻木
anaesthesiology	麻醉學
anaesthetic	麻醉劑
anaesthetist	麻醉師
anaesthetize	使麻木
anagenesis	再生
anaglyph	淺浮雕
anagram	回文構詞法
anagrammatize	11 變換字母順序使成換音詞
anal	肛門的
