a	eɪ	-ā	ㄝㄧ	累加器
absolute music	ˈæbsəluːt ˈmjuːzɪk	a-b-s-ə-l-ū-t- -m-yü-z-i-k	ㄚㄅㄙㄦㄌㄨㄉ ㄇㄡㄨㄗㄧㄍ	純音樂
absolute temperature	ˈæbsəluːt ˈtɛmprɪʧə	a-b-s-ə-l-ū-t- -t-é-m-p-r-i-ch-ə	ㄚㄅㄙㄦㄌㄨㄉ ㄉㄜㄇㄅㄖㄧㄓㄦ	絕對溫度
absolute title	ˈæbsəluːt ˈtaɪtl	a-b-s-ə-l-ū-t- -t-ī-t-l	ㄚㄅㄙㄦㄌㄨㄉ ㄉㄚㄧㄉㄌ	絕對所有權
absolute unit	ˈæbsəluːt ˈjuːnɪt	a-b-s-ə-l-ū-t- -yü-n-i-t	ㄚㄅㄙㄦㄌㄨㄉ ㄡㄨㄋㄧㄉ	絕對單位
absolute value	ˈæbsəluːt ˈvæljuː	a-b-s-ə-l-ū-t- -v-a-l-yü	ㄚㄅㄙㄦㄌㄨㄉ ㄈㄚㄌㄡㄨ	絕對值
absolute zero	ˈæbsəluːt ˈzɪərəʊ	a-b-s-ə-l-ū-t- -z-ē-ə-r-ə-oo	ㄚㄅㄙㄦㄌㄨㄉ ㄗㄧㄦㄖㄦㄡ	絕對零度
absolutely	ˈæbsəluːtli	a-b-s-ə-l-ū-t-l-ē	ㄚㄅㄙㄦㄌㄨㄉㄌㄧ	完全地
absolution	ˌæbsəˈluːʃ(ə)n	a-b-s-ə-l-ū-sh-ə--n	ㄚㄅㄙㄦㄌㄨㄕㄦㄋ	免罪
absolutism	ˈæbsəluːtɪzm	a-b-s-ə-l-ū-t-i-z-m	ㄚㄅㄙㄦㄌㄨㄉㄧㄗㄇ	專制主義
absolve	əbˈzɒlv	ə-b-z-o-l-v-	ㄦㄅㄗㄛㄌㄈ	宣告
absonant	absonant	a-b-s-o-n-a-n-t	ㄚㄅㄙㄛㄋㄢㄉ	不協調的
absorb	əbˈsɔːb	ə-b-s-ô-b-	ㄦㄅㄙㄛㄅ	吸收
absorbance	absorbance	a-b-s-o-r-b-a-n-ce	ㄚㄅㄙㄛㄖㄅㄢㄕㄝ	吸光率
absorbed dose	əbˈsɔːbd dəʊs	-ə-b-s-ô-b-d- -d-ə-oo-s	ㄦㄅㄙㄛㄅㄉ ㄉㄦㄡㄙ	吸收劑量
absorbent	əbˈsɔːbənt	ə-b-s-ô-b-ə-n-t	ㄦㄅㄙㄛㄅㄣㄉ	能吸收的
absorbent cotton	əbˈsɔːbənt ˈkɒtn	ə-b-s-ô-b-ə-n-t- -k-o-t-n	ㄦㄅㄙㄛㄅㄣㄉ ㄍㄛㄉㄋ	脫脂棉
absorbing	əbˈsɔːbɪŋ	ə-b-s-ô-b-i-ng-	ㄦㄅㄙㄛㄅㄧㄥ	吸引人的
absorptiometer	absorptiometer	a-b-s-o-r-p-t-ē-o-m-e-t-e-r	ㄚㄅㄙㄛㄖㄅㄉㄧㄛㄇㄝㄉㄝㄖ	調液厚器
absorption	əbˈsɔːpʃ(ə)n	ə-b-s-ô-p-sh-ə--n	ㄦㄅㄙㄛㄅㄕㄦㄋ	吸收
absorption costing	əbˈsɔːpʃ(ə)n ˈkɒstɪŋ	ə-b-s-ô-p-sh-ə--n- -k-o-s-t-i-ng	ㄦㄅㄙㄛㄅㄕㄦㄋ ㄍㄛㄙㄉㄧㄥ	歸納
absorption spectrum	əbˈsɔːpʃ(ə)n ˈspɛktrəm	ə-b-s-ô-p-sh-ə--n- -s-p-é-k-t-r-ə-m-	ㄦㄅㄙㄛㄅㄕㄦㄋ ㄙㄅㄜㄍㄉㄖㄦㄇ	吸收光譜
absquatulate	absquatulate	a-b-s-q-ū-a-t-ū-l-a-t-e	ㄚㄅㄙㄎㄨㄚㄉㄨㄌㄚㄉㄝ	逃走
abstain	əbˈsteɪn	-ə-b-s-t-ā-n	ㄦㄅㄙㄉㄝㄧㄋ	自制
abstemious	æbˈstiːmjəs	a-b-s-t-ē-m-y-ə-s	ㄚㄅㄙㄉㄧㄇㄡㄦㄙ	有節制的
abstention	əbˈstɛnʃ(ə)n	ə-b-s-t-é-n-sh-ə--n	ㄦㄅㄙㄉㄜㄋㄕㄦㄋ	戒絕
abstinence	ˈæbstɪnəns	a-b-s-t-i-n-ə-n-s	ㄚㄅㄙㄉㄧㄋㄣㄙ	節制
abstinent	ˈæbstɪnənt	a-b-s-t-i-n-ə-n-t	ㄚㄅㄙㄉㄧㄋㄣㄉ	有節制的
abstract	ˈæbstrækt	a-b-s-t-r-a-k-t	ㄚㄅㄙㄉㄖㄚㄍㄉ	抽象的
abstract of title	ˈæbstrækt ɒv ˈtaɪtl	a-b-s-t-r-a-k-t- -o-v- -t-ī-t-l	ㄚㄅㄙㄉㄖㄚㄍㄉ ㄛㄈ ㄉㄚㄧㄉㄌ	產權簡史
abstracted	æbˈstræktɪd	a-b-s-t-r-a-k-t-i-d	ㄚㄅㄙㄉㄖㄚㄍㄉㄧㄉ	心不在焉的
abstraction	æbˈstrækʃ(ə)n	a-b-s-t-r-a-k-sh-ə--n	ㄚㄅㄙㄉㄖㄚㄍㄕㄦㄋ	抽象化
abstractionism	æbˈstrækʃ(ə)nɪz(ə)m	a-b-s-t-r-a-k-sh-ə--n-i-z-ə--m	ㄚㄅㄙㄉㄖㄚㄍㄕㄦㄋㄧㄗㄦㄇ	抽象派
abstruse	æbˈstruːs	a-b-s-t-r-ū-s	ㄚㄅㄙㄉㄖㄨㄙ	難解的
absurd	əbˈsɜːd	ə-b-s-û-d	ㄦㄅㄙㄦㄉ	荒謬的
absurdism	əbˈsɜːdɪz(ə)m	ə-b-s-û-d-i-z-ə--m	ㄦㄅㄙㄦㄉㄧㄗㄦㄇ	荒誕主義
absurdity	əbˈsɜːdɪti	ə-b-s-û-d-i-t-ē	ㄦㄅㄙㄦㄉㄧㄉㄧ	荒謬
absurdly	əbˈsɜːdli	ə-b-s-û-d-l-ē-	ㄦㄅㄙㄦㄉㄌㄧ	荒謬地
abulia	abulia	a-b-ū-l-ē-a	ㄚㄅㄨㄌㄧㄚ	意志缺失
abundance	əˈbʌndəns	-ə-b-u-n-d-ə-n-s	ㄦㄅㄨㄋㄉㄣㄙ	豐富
abundant	əˈbʌndənt	ə-b-u-n-d-ə-n-t	ㄦㄅㄨㄋㄉㄣㄉ	豐富的
abundantly	əˈbʌndəntli	ə-b-u-n-d-ə-n-t-l-ē	ㄦㄅㄨㄋㄉㄣㄉㄌㄧ	大量地
abuse	əˈbjuːs	ə-b-yü-s	ㄦㄅㄡㄨㄙ	濫用
abusive	əˈbjuːsɪv	ə-b-yü-s-i-v	ㄦㄅㄡㄨㄙㄧㄈ	惡言謾罵的
abut	əˈbʌt	ə-b-u-t	ㄦㄅㄨㄉ	鄰接
abutment	əˈbʌtmənt	ə-b-u-t-m-ə-n-t	ㄦㄅㄨㄉㄇㄣㄉ	鄰接
abutter	əˈbʌtə	ə-b-u-t-ə	ㄦㄅㄨㄉㄦ	毗鄰業主
abuzz	əˈbʌz	ə-b-u-z	ㄦㄅㄨㄗ	嗡嗡的
abysmal	əˈbɪzməl	ə-b-i-z-m-ə-l	ㄦㄅㄧㄗㄇㄦㄌ	深不可測的
abyss	əˈbɪs	ə-b-i-s	ㄦㄅㄧㄙ	深淵
abyssal	əˈbɪsəl	ə-b-i-s-ə-l-	ㄦㄅㄧㄙㄦㄌ	深不可測的
Abyssinia	Abyssinia	A-b-y-s-s-ē-n-ē-a	Aㄅㄩㄙㄙㄧㄋㄧㄚ	阿比西尼亞
Ac	Ac	Ac	Aㄕ	公元前
AC/DC	eɪ-siː/diː-siː	-ā-s-ē-/-d-ē-s-ē	ㄝㄧ-ㄙㄧ/ㄉㄧ-ㄙㄧ	交直流
acacia	əˈkeɪʃə	ə-k-ā-sh-ə	ㄦㄍㄝㄧㄕㄦ	洋槐
academia	ˌækəˈdiːmɪə	a-k-ə-d-ē-m-ē-ə	ㄚㄍㄦㄉㄧㄇㄧㄦ	學術界
academic	ˌækəˈdɛmɪk	a-k-ə-d-é-m-i-k	ㄚㄍㄦㄉㄜㄇㄧㄍ	學院的
academician	əˌkædəˈmɪʃ(ə)n	ə-k-a-d-ə-m-i-sh-ə--n	ㄦㄍㄚㄉㄦㄇㄧㄕㄦㄋ	學會會員
academy	əˈkædəmi	ə-k-a-d-ə-m-ē	ㄦㄍㄚㄉㄦㄇㄧ	學院
Academy Award	əˈkædəmi əˈwɔːd	ə-k-a-d-ə-m-ē- -ə-w-ô-d-	ㄦㄍㄚㄉㄦㄇㄧ ㄦㄨㄛㄉ	奧斯卡獎
acalculia	acalculia	aca-l-c-ū-l-ē-a	ㄚㄕㄚㄌㄕㄨㄌㄧㄚ	計算不能
Acanthocephala	Acanthocephala	Aca-n-t-h-oce-p-h-a-l-a	Aㄕㄢㄉㄏㄛㄕㄝㄅㄏㄚㄌㄚ	棘頭綱
acanthus	əˈkænθəs	-ə-k-a-n-th-ə-s	ㄦㄍㄚㄋㄊㄦㄙ	葉形裝飾
accede	ækˈsiːd	a-k-s-ē-d	ㄚㄍㄙㄧㄉ	同意
accelerant	əkˈsɛlərənt	ə-k-s-é-l-ə-r-ə-n-t	ㄦㄍㄙㄜㄌㄦㄖㄣㄉ	促進劑
accelerate	əkˈsɛləreɪt	ə-k-s-é-l-ə-r-ā-t	ㄦㄍㄙㄜㄌㄦㄖㄝㄧㄉ	加速
acceleration	əkˌsɛləˈreɪʃ(ə)n	ə-k-s-é-l-ə-r-ā-sh-ə--n	ㄦㄍㄙㄜㄌㄦㄖㄝㄧㄕㄦㄋ	加速
accelerator	əkˈsɛləreɪtə	ə-k-s-é-l-ə-r-ā-t-ə	ㄦㄍㄙㄜㄌㄦㄖㄝㄧㄉㄦ	加速劑
accelerator board	əkˈsɛləreɪtə bɔːd	ə-k-s-é-l-ə-r-ā-t-ə- -b-ô-d-	ㄦㄍㄙㄜㄌㄦㄖㄝㄧㄉㄦ ㄅㄛㄉ	加速板
accelerometer	accelerometer	acce-l-e-r-o-m-e-t-e-r	ㄚㄕㄕㄝㄌㄝㄖㄛㄇㄝㄉㄝㄖ	加速度計
accent	ˈæksənt	a-k-s-ə-n-t	ㄚㄍㄙㄣㄉ	重音
accentor	əkˈsɛntə	ə-k-s-é-n-t-ə	ㄦㄍㄙㄜㄋㄉㄦ	鳴禽
accentuate	ækˈsɛntjʊeɪt	a-k-s-é-n-t-y-oo-ā-t	ㄚㄍㄙㄜㄋㄉㄡㄡㄝㄧㄉ	以重音念
