ກ	A	k
ກອງ^ປະຊຸມ	Conference	k`ng^pasum
ກອງ^ປຸຍ	Drumstick	k`ng^puny
ກອງ^ຟືນ	Firewood pile	k`ng^fyyn
ກອງ^ໄຟ	Fire brigade	k`ng^aif
ກອງ^ເລືອດ	Blood bank	k`ng^elyy`d
ກອງ^ໄວ້	Stored	k`ng^aiw
ກອງ^ຫີນ	Stone pile	k`ng^hiin
ກອງກວຽນ	Drum corps	k`ngkwnyn
ກອງເຂົ້າ	Rice field	k`ngekhoaa
ກ້ອງສະໜັ່ນ	Camera	k`ngsahnn
ກອງສິ່ງ^ຮົກຮ້າງ	A pile of rubble.	k`ngsing^okaang
ກອງທັບ	Army	k`ngthb
ກອງທັບ^ໃຫຍ່	Large army	k`ngthb^ayhny
ກອງປຸ້ນ	Robbery squad	k`ngpun
ກອງຝຸ່ນ	Dustbin	k`ngfun
ກອງພັນ	Battalion	k`ngphn
ກອງພົນ	Brigade	k`ngphon
ກອງຟືນ	Firewood pile	k`ngfyyn
ກອງໜ້າ	Forward	k`nghnaa
ກອງໜູນ	Support group	k`nghnuun
ກອງຫລັງ	Rear guard	k`nghlng
ກອງຮ້ອຍ	Centurion	k`ng`ny
ກອດ	Hug	k`d
ກອດ^ກັນ	Hug each other	k`d^kn
ກອດ^ຈູບ	Hug^Kiss	k`d^chuub
ກອດເອິກ	Hug your chest	k`de`ik
ກອນ	Money	k`n
ກ່ອນ	Before	k`n
ກ້ອນ	Ice	k`n
ກ່ອນ^ຄໍ່າ	Before^evening	k`n^khMaa
ກ່ອນໆ	Before	k`n+
ກ້ອນໆ	Small lump	k`n+
ກ່ອນກີ້	Long ago	k`nkii
ກ່ອນສາ	Before	k`nsaa
ກ້ອນຊີ້ນ	Meatball	k`nsiin
ກ້ອນດຽວ	One piece	k`ndnyw
ກອນປະຕູ	Knock on the door	k`npahuu
ກ້ອນເມກ	Cloud	k`nemk
ກ່ອນລະດູ	Before the season	k`nladuu
ກ່ອນແລ້ວ	Already	k`neilw
ກ່ອນໜ້າ	Before	k`nhnaa
ກ້ອນຫີນ	Stone	k`nhiin
ກ້ອນຫີນ||ໃສ່	Stone || Put	k`nhiin||ays
ກ້ອນໃຫຍ່	Big ice	k`nayhny
ກອບ	Frame	k`b
ກອບກູ້	Rescue	k`bkuu
ກ່ອມ	Fold	k`m
ກະ	Rice	ka
ກະ^ໄວ້	Leave it.	ka^aiw
ກະຈັກ^ກະຈາຍ	The wheel is spread.	kachk^kachaany
ກະຈັດ^ກະຈາຍ	Disperse	kachd^kachaany
ກະຈັບປີ່	Playing the flute	kachbpii
ກະຈ່າງ	A flower	kachaang
ກະຈ່າງ^ແຈ້ງ	Clear sky	kachaang^eichng
ກະຈາຍ	Spread	kachaany
ກະແຈ	Key	kaeich
ກະສວຍ	A basket	kaswny
ກະສອບ	Sack	kas`b
ກະສອບ^ເຂົ້າ	Sack of rice	kas`b^ekhoaa
ກະສັດ	King	kasd
ກະສັດ^ໂສ	King^So	kasd^os
ກະສັດ^ໄຊຣັດ	King Cyrus	kasd^aisrd
ກະສັດ^ເນບູ^ກາດເນັດຊາ	King Nebuchadnezzar	kasd^enbuu^kaadendsaa
ກະສັດ^ເປກາ	King Pekah	kasd^epkaa
ກະສັດ^ຟາໂຣ	King Pharaoh	kasd^faaor
ກະສັດ^ເຣຊິນ	King Rezin	kasd^ersin
ກະສັດ^ເອີຍ	King,	kasd^e`iiny
ກະສິກອນ	Farmer	kasik`n
ກະສຽນ	Rice	kasnyn
ກະແສ	Current	kaeis
ກະແສ^ຟອງ	Stream^bubble	kaeis^f`ng
ກະຊິບ	Whisper	kasib
ກະດ້າງ	Rice	kadaang
ກະດານ	Board	kadaan
ກະດິກ^ກະດຽມ	Shake, shake, shake.	kadik^kadnym
ກະດືບ	A piece of paper	kadyyb
ກະດູກ	Bone	kaduuk
ກະດູກ^ສັນຫລັງ	Spine	kaduuk^snhlng
ກະດູກ^ລໍ	Donkey bone	kaduuk^lM
ກະດູກ^ຫລ້ອນ	Bones^return	kaduuk^hl`n
ກະດູກ^ແຫ້ງ	Dry bones	kaduuk^eihng
ກະດົ້ງ	Basket	kadong
ກະໂດດ	Jump	kaodd
ກະໂດດ^ເຕັ້ນ	Jump, dance	kaodd^ehn
ກະຕັນຍູ	Thank you	kahnnyuu
ກະຕ່າ	Basket	kahaa
ກະຕ່າ^ໜຶ່ງ	One basket	kahaa^hnyng
ກະຕ່າຍ	Rabbit	kahaany
ກະຕື^ລືລົ້ນ	The cat is very cute.	kahyy^lyylon
ກະຖັງ	Bucket	kathng
ກະຖິນເທດ	Acacia tree	kathinethd
ກະຖຸນ	Target	kathun
ກະທັນຫັນ	Suddenly	kathnhn
ກະທຳ	act	katham
ກະທຳ^ການ	Action	katham^kaan
ກະທຳ^ກິນ	Do^eat	katham^kin
ກະທຳ^ຊົ່ວ	Do evil.	katham^sow
ກະທຳ^ນັ້ນ	Do that.	katham^nn
ກະທຳການ	Do something	kathamkaan
ກະທືບ	Cattle	kathyyb
ກະທົບ	Impact	kathob
ກະທົບກະແທກ	Impact	kathobkaeithk
ກະທົບກັນ	Impact	kathobkn
ກະເທີຍ	Bisexual	kaethiiny
ກະນີໂດ	Kanido	kaniiod
ກະບອງ	Cactus	kab`ng
ກະບີ້ງ	Shrimp	kabiing
ກະບຸງ	Pot	kabung
ກະບົດ	Rebel	kabod
ກະບົດ^ຕໍ່ສູ້	Rebellion^fight	kabod^hMsuu
ກະໂບກ	Bamboo	kaobk
ກະໂບກ^ຄຳ	Gold coin	kaobk^kham
ກະເປົາ	Bag	kaepoaa
ກະໂປ່ງ	Skirt	kaopng
ກະເພາະ	Stomach	kaephaaa
ກະເພາະ^ອາຫານ	Stomach	kaephaaa^`aahaan
ກະໂພກ	Firecracker	kaophk
ກະເຣເຕ	Crete	kaereh
ກະລໍ	Wait	kalM
ກະລາວດີໂອ	Laos is beautiful.	kalaawdiio`
ກະລຸນາ	Please	kalunaa
ກະເລເມ	Kaleme	kaelem
ກະໂລເດຍ	Claudia	kaoledny
ກະໂລປາ	Calabash	kaolpaa
ກະວົນ^ກະວາຍ	Worried^ anxious	kawon^kawaany
ກະເວົາ	Kawai	kaewoaa
ກະໜໍ່າ	Weight	kahnMaa
ກະຫາຍ	Thirsty	kahaany
ກະຫາຍ^ນໍ້າ	Thirsty for water	kahaany^nMaa
ກະໂຫລກ	Skull	kaohlk
ກະໂຫລກ^ຫົວ	Skull^head	kaohlk^how
ກະຮໍ່າ	Squirrel	kaMaa
ກັກ	Detain	kk
ກັກກັ້ນ	Detain	kkkn
ກັກຂັງ	Detain	kkkhng
ກັກຈ່ອງ	Detain	kkch`ng
ກັກຕົວ	Detain	kkhow
ກັງ	Kang	kng
ກັງວານ	Kangwan	kngwaan
ກັງວົນ	Worried	kngwon
ກັງວົນ^ໃຈ	Worried	kngwon^aych
ກັງວົນ^ນຳ	Worried	kngwon^nam
ກັດ	bite	kd
ກັດກິນ	Bite	kdkin
ກັດສະລູ	Cut off	kdsaluu
ກັດຊຳ	Cut the stem	kdsam
ກັດຕາດ	Cut off	kdhaad
ກັດໂມ	Cut the watermelon	kdom
ກັນ	Together	kn
ກັ່ນ	Distillation	kn
ກັ້ນ	Block	kn
ກັນ^ເບິ່ງ	See you later.	kn^ebing
ກັນ^ເລີຍ	Okay.	kn^eliiny
ກັນ^ເອງ	Together^myself	kn^e`ng
ກັ້ນກາງ	Middle barrier	knkaang
ກັນດາ	Canada	kndaa
ກັນເດ	How are you?	kned
ກັນເດອານ	Kandean	kned`aan
ກັນເທາະ	Okay, okay.	knethaaa
ກັນແທ້	Really?	kneith
ກັນເປື້ອນ	Dirt-resistant	knepyy`n
ກັນໄປ	Together	knaip
ກັນແລະກັນ	Each other	kneilakn
ກັນເອງ	Together	kne`ng
ກັບ	back	kb
ກັບ^ຄືນ	Back home	kb^khyyn
ກັບ^ຄືນ^ມາ	Come back.	kb^khyyn^maa
ກັບ^ຄືນ^ເມືອ	Return	kb^khyyn^emyy`
ກັບ^ໄປ	Back^go	kb^aip
ກັບ^ຜູ້	With^who	kb^phuu
ກັບ^ໃຜ	With whom?	kb^ayph
ກັບ^ມາ	Come back.	kb^maa
ກັບ^ມາ^ອີກ	Come back again.	kb^maa^`iik
ກັບ^ເມືອ	Go back.	kb^emyy`
ກັບແກ້	To correct	kbeik
ກັບຄືນ	Return	kbkhyyn
ກັບຄືນ^ໄປ	Go back.	kbkhyyn^aip
ກັບຄືນ^ມາ	Come back.	kbkhyyn^maa
ກັບຄືນ^ເມືອ	Return^Go back	kbkhyyn^emyy`
ກັບຄືນ^ຫລັງ	Back^back	kbkhyyn^hlng
ກັບຄືນມາ	Come back	kbkhyynmaa
ກັບໃຈ	Repent	kbaych
ກັບໃຈໃໝ່	Repent	kbaychayhm
ກັບເຊເອນ	With Sheel	kbese`n
ກັບດັກ	Trap	kbdk
ກັບຕາ	With eyes	kbhaa
ກັບຕົນ	With oneself	kbhon
ກັບຕົວ	Back to you	kbhow
ກັບທີ່	Back to where	kbthii
ກັບໂບນ	Carbon	kbobn
ກັບໄບ	Return	kbaib
ກັບໄປ	Go back	kbaip
ກັບມາ	Come back	kbmaa
ກັບເມືອ	Go back	kbemyy`
ກາ	Cross	kaa
ກ້າ	Dare	kaa
ກໍ້າ	Goose	kMaa
ກໍ້າ^ຂວາ	Right hand	kMaa^khwaa
ກໍ້າ^ຂວາມື	Right-hand corner	kMaa^khwaamyy
ກໍ້າ^ຊ້າຍ	Left hand	kMaa^saany
ກາກກັດ	Carcass	kaakkd
ກາກກາ	Kakka	kaakkaa
ກາກເກມິດ	Carchemish	kaakekmid
ກາກເຊນາ	Carcassonne	kaakesnaa
ກາກຕາ	Carta	kaakhaa
ກາກຕານ	Carthage	kaakhaan
ກ້າກັ່ນ	Distilled	kaakn
ກາໂກເຣ	Kagore	kaaoker
ກໍ້າຂວາ	Right hand	kMaakhwaa
ກາງ	Middle	kaang
ກາງ^ຄືນ	Midnight	kaang^khyyn
ກາງ^ທົ່ງ	In the middle of the field	kaang^thong
ກາງ^ທົ່ງນາ	In the middle of the field	kaang^thongnaa
ກາງ^ປ່າ	In the middle of the forest	kaang^paa
ກາງ^ຟ້າ^ສະຫວັນ	Heaven	kaang^faa^sahwn
ກາງ^ເວັນ	Midday	kaang^ewn
ກາງ^ອາກາດ	Mid-air	kaang^`aakaad
ກາງຄ້າຍ	In the middle of the camp	kaangkhaany
ກາງຄືນ	Night	kaangkhyyn
ກາງຄືນ^ໂລດ	Night^Lot	kaangkhyyn^old
ກາງແຈ້ງ	Outdoors	kaangeichng
ກາງເມືອງ	Downtown	kaangemyy`ng
ກາງເມືອງ^ໂສໂກ	Downtown^Sokoto	kaangemyy`ng^osok
ກາງເວັນ	Daytime	kaangewn
ກາສີຟີອາ	Cassiopeia	kaasiifii`aa
ກາຊາ	Gaza	kaasaa
ກາເຊ	Cashew	kaaes
ກາຍ	beyond	kaany
ກ່າຍ	Copy	kaany
ກາຍ^ເປັນຈິງ	Come true	kaany^epnching
ກາຍ^ເມືອງ	Outside the city	kaany^emyy`ng
ກາຍຊາ	Gaisha	kaanysaa
ກາຍຊາເຣຍ	Caesarea	kaanysaaerny
ກາຍນັບ	Countless	kaanynb
ກາຍນານ	Long time no see	kaanynaan
ກາຍເປັນ	Become	kaanyepn
ກາຍເປັນ^ລ່ອຍ	Become thin	kaanyepn^l`ny
ກາຍເປັນ||ຄວາມ^ຊົມຊື່ນ^ຍິນດີ	Become ||joyful	kaanyepn||khwaam^somsyyn^nyindii
ກາຍເປັນຈິງ	Come true	kaanyepnching
ກາຍເປັນຫຍັງ	What happened?	kaanyepnhnyng
ກາຍໄປ	Passed away	kaanyaip
ກາຍມາ	Past	kaanymaa
ກາຍມາເປັນ	Become	kaanymaaepn
ກາດ	Air	kaad
ກາດມີເອນ	Cardamom	kaadmiie`n
ກາດຣິມໂມນ	Gath Rimmon	kaadrimomn
ກາດເຮເຟ	Gadhefe	kaadeef
ກໍ່າດຳ	Black crow	kMaadam
ກາເດັດ	Kadesh	kaaedd
ກາເດັດ^ບາກເນອາ	Kadesh Barnea	kaaedd^baaken`aa
ກ້າຕາຍ	Dare to die	kaahaany
ການ	The	kaan
ກ່ານ	Gate	kaan
ກ້ານ	Stem	kaan
ການ^ກໍ່ສ້າງ	Construction	kaan^kMsaang
ການ^ກະຕື^ລືລົ້ນ	The excitement	kaan^kahyy^lyylon
ການ^ກະຕຽມ	Preparation	kaan^kahnym
ການ^ກະທຳ	Action	kaan^katham
ການ^ກະທຳ^ດີ	Good deeds	kaan^katham^dii
ການ^ກະບົດ	Rebellion	kaan^kabod
ການ^ກັບ^ມາ	Return	kaan^kb^maa
ການ^ກັບຄືນ	Return	kaan^kbkhyyn
ການ^ກັບໃຈ	Repentance	kaan^kbaych
ການ^ກິນລ້ຽງ	Banquet	kaan^kinlnyng
ການ^ເກັບກ່ຽວ	Harvesting	kaan^ekbknyw
ການ^ເກີດ	Birth	kaan^ekiid
ການ^ເກີດລູກ	Childbirth	kaan^ekiidluuk
ການ^ເກີດລູກ^ກົກ	Birth of the first child	kaan^ekiidluuk^kok
ການ^ແກ້	The solution	kaan^eik
ການ^ແກ້ແຄ້ນ	Revenge	kaan^eikeikhn
ການ^ແກ້ຕົວ	Apology	kaan^eikhow
ການ^ໂກດຮ້າຍ	Anger	kaan^okdaany
ການ^ຂັດແຍ່ງ	Conflict	kaan^khdeinyng
ການ^ຂ້າ	Killing	kaan^khaa
ການ^ຂ້າຟັນ^ລັນແທງ	Stabbing	kaan^khaafn^lneithng
ການ^ຂ້າຟັນກັນ	The killing of each other	kaan^khaafnkn
ການ^ຂ້າໝູ່	Killing friends	kaan^khaahmuu
ການ^ຂົມຂື່ນ	Bitterness	kaan^khomkhyyn
ການ^ຂົ່ມຂູ່	Threat	kaan^khomkhuu
ການ^ຂ້ຽນຕີ	The beating	kaan^khnynhii
ການ^ແຂ່ງຂັນ	Competition	kaan^eikhngkhn
ການ^ຄວບຄຸມ	Control	kaan^khwbkhum
ການ^ຄອງ^ອຳນາດ	Governance	kaan^kh`ng^`amnaad
ການ^ຄ້າຂາຍ	Trade	kaan^khaakhaany
ການ^ຄໍ່າຄວນ	Lamentation	kaan^khMaakhwn
ການ^ຄາດ^ໄຖ	Forecasting	kaan^khaad^aith
ການ^ຄືນດີ	Reconciliation	kaan^khyyndii
ການ^ຄຸ້ມຄອງ	Management	kaan^khumkh`ng
ການ^ງຶດງໍ້	Confusion	kaan^ngydngM
ການ^ງຶດງໍ້^ແລ້ວ	The confusion is over.	kaan^ngydngM^eilw
ການ^ໂງ່ຈ້າ	Stupidity	kaan^ongchaa
ການ^ຈອງຫອງ	Arrogance	kaan^ch`ngh`ng
ການ^ຈັດ^ລະບຽບ	Organization	kaan^chd^labnyb
ການ^ຈັດແຈງ	Arrangement	kaan^chdeichng
ການ^ຈັດຕັ້ງ	Organization	kaan^chdhng
ການ^ຈັດຕຽມ	Preparation	kaan^chdhnym
ການ^ຈັດວາງ	Arrangement	kaan^chdwaang
ການ^ຈາລະຈົນ	Poverty	kaan^chaalachon
ການ^ຈິບຫາຍ	Destruction	kaan^chibhaany
ການ^ຈົດຈຳ	Memorization	kaan^chodcham
ການ^ຈົມລົງ	Sinking	kaan^chomlong
ການ^ເຈັບໄຂ້	Fever	kaan^echbaikh
ການ^ເຈັບໄຂ້^ໄດ້ປ່ວຍ	To get sick	kaan^echbaikh^aidpwny
ການ^ເຈັບປ່ວຍ	Sickness	kaan^echbpwny
ການ^ເຈັບປວດ	Pain	kaan^echbpwd
ການ^ເຈັບເປັນ	Sickness	kaan^echbepn
ການ^ເຈີມ	The anointing	kaan^echiim
ການ^ແຈກ^ຢາຍ	Distribution	kaan^eichk^yaany
ການ^ໂຈມຕີ	Attack	kaan^ochmhii
ການ^ໄຈ້ແຍກ	Separation	kaan^aicheinyk
ການ^ສໍ້ໂກງ	Fraud	kaan^sMokng
ການ^ສອບສວນ	Investigation	kaan^s`bswn
ການ^ສ້ອມແປງ	Repair	kaan^s`meipng
ການ^ສະແດງ	Performance	kaan^saeidng
ການ^ສະຖາປະນາ	Establishment	kaan^sathaapanaa
ການ^ສະໜຸກ^ສະໜານ	Amusement park	kaan^sahnuk^sahnaan
ການ^ສະຫລອງ	Celebration	kaan^sahl`ng
ການ^ສະຫລາດ	Wisdom	kaan^sahlaad
ການ^ສະເຫລີມ^ສະຫລອງ	Celebration	kaan^saehliim^sahl`ng
ການ^ສະແຫວງຫາ	The search	kaan^saeihwnghaa
ການ^ສັງຫານ	The killing	kaan^snghaan
ການ^ສັງຫານໝູ່	Massacre	kaan^snghaanhmuu
ການ^ສັນຈອນ	Traffic	kaan^snch`n
ການ^ສັນລະເສີນ	Praise	kaan^snlaesiin
ການ^ສ້າງຂຶ້ນ	Creation	kaan^saangkhyn
ການ^ສ້າງສາ	Construction	kaan^saangsaa
ການ^ສ້າງເມືອງ	City building	kaan^saangemyy`ng
ການ^ສາບແຊ່ງ	Curse	kaan^saabeisng
ການ^ສິ້ນສຸດ	The end	kaan^sinsud
ການ^ສຶກສາ	Education	kaan^syksaa
ການ^ສືບສວນ	Investigation	kaan^syybswn
ການ^ສູນເສຍ	Loss	kaan^suunesny
ການ^ສູນເປົ່າ	Emptying	kaan^suunepoaa
ການ^ສູ້ຮົບ	The battle	kaan^suuob
ການ^ສູ້ຮົບ^ກັນ	Fighting	kaan^suuob^kn
ການ^ສົງຄາມ	War	kaan^songkhaam
ການ^ສົ່ງສະການ	The sending of the message	kaan^songsakaan
ການ^ສົນທະນາ	Conversation	kaan^sonthanaa
ການ^ເສຍສ່ວຍ	Sacrifice	kaan^esnyswny
ການ^ເສີມກຳລັງ	Reinforcement	kaan^esiimkamlng
ການ^ເສື່ອມເສຍ	Deterioration	kaan^esyy`mesny
ການ^ໂສກເສົ້າ	Sadness	kaan^oskesoaa
ການ^ຊ່ວຍ	Help	kaan^swny
ການ^ຊ່ວຍກູ້	Rescue	kaan^swnykuu
ການ^ຊ່ວຍຊູ	Helping	kaan^swnysuu
ການ^ຊ່ວຍເຫລືອ	Assistance	kaan^swnyehlyy`
ການ^ຊ່ວຍເຫຼືອ	Assistance	kaan^swnyehlyy`
ການ^ຊຳລະຄືນ	Repayment	kaan^samlakhyyn
ການ^ຊີ້ນຳ	Guidance	kaan^siinam
ການ^ຊື້ຂາຍ	Trading	kaan^syykhaany
ການ^ຊື້ຂາຍກັນ	Trading	kaan^syykhaanykn
ການ^ຊຸມນຸມ	Meeting	kaan^sumnum
ການ^ຊົກຕ່ອຍກັນ	The clash	kaan^sokh`nykn
ການ^ຊົງພິພາກ	Judgment	kaan^songphiphaak
ການ^ຊົ່ວ	Evil	kaan^sow
ການ^ຊົ່ວຊ້າ	Evil	kaan^sowsaa
ການ^ຊົ່ວຮ້າຍ	Evil	kaan^sowaany
ການ^ເຊື່ອຖື	Trust	kaan^esyy`thyy
ການ^ເຊື່ອຟັງ	Obedience	kaan^esyy`fng
ການ^ໃຊ້	Usage	kaan^ays
ການ^ໃຊ້^ຈ່າຍ	Expenditure	kaan^ays^chaany
ການ^ໃຊ້^ຊີວິດ	Life	kaan^ays^siiwid
ການ^ໃຊ້ກຳລັງ	The use of force	kaan^ayskamlng
ການ^ໃຊ້ແທນຄືນ	Reuse	kaan^ayseithnkhyyn
ການ^ຍ້ອງຍໍ	Praise	kaan^ny`ngnyM
ການ^ຍ້ອງຍໍ^ສັນລະເສີນ	Praise	kaan^ny`ngnyM^snlaesiin
ການ^ຍາກຈົນ	Poverty	kaan^nyaakchon
ການ^ຍຸຍົງ	Provocation	kaan^nyunyong
ການ^ຍຸດຕິທຳ	Justice	kaan^nyudhitham
ການ^ຍົກ^ບາບ	Forgiveness of sins	kaan^nyok^baab
ການ^ຍົກໂທດ	Pardon	kaan^nyokothd
ການ^ຍົກເວັ້ນ	Exclusion	kaan^nyokewn
ການ^ຍົວະເຍົ້າ	Provocation	kaan^nyowaenyoaa
ການ^ເຍາະເຍີ້ຍ	Mockery	kaan^enyaaaenyiiny
ການ^ແຍກຈາກ^ກັນ	Separation	kaan^einykchaak^kn
ການ^ແຍກຕົວ	Separation	kaan^einykhow
ການ^ດຳເນີນ	Operation	kaan^dameniin
ການ^ດີເລີດ	Excellent work	kaan^diieliid
ການ^ດີຫລາຍ	Very good.	kaan^diihlaany
ການ^ດື່ມ	Drinking	kaan^dyym
ການ^ດູແລ	Care	kaan^duueil
ການ^ດູໝິ່ນ	Contempt	kaan^duuhmin
ການ^ດູໝິ່ນ^ປະໝາດ	Contempt	kaan^duuhmin^pahmaad
ການ^ດູໝິ່ນນິນທາ	Slander	kaan^duuhminninthaa
ການ^ດົນໃຈ	Inspiration	kaan^donaych
ການ^ເດີນ	Travel	kaan^ediin
ການ^ເດີນທາງ	Travel	kaan^ediinthaang
ການ^ຕໍ່ສູ້	The fight	kaan^hMsuu
ການ^ຕໍ່ສູ້^ກັນ	Fighting	kaan^hMsuu^kn
ການ^ຕ້ອນຮັບ	Reception	kaan^h`nb
ການ^ຕອບ	Reply	kaan^h`b
ການ^ຕອບແທນ	Reciprocation	kaan^h`beithn
ການ^ຕັດຂາດ	Severance	kaan^hdkhaad
ການ^ຕັດສິນ	Judgment	kaan^hdsin
ການ^ຕັດສິນໃຈ	Decision-making	kaan^hdsinaych
ການ^ຕາຍອຶດ^ຕາຍຢາກ	Starving to death	kaan^haany`yd^haanyyaak
ການ^ຕາຍອຶດ^ຕາຍຫິວ	Starvation	kaan^haany`yd^haanyhiw
ການ^ຕິດຕາມ	Monitoring	kaan^hidhaam
ການ^ຕົກ^ຕະລຶງ	Surprise	kaan^hok^halyng
ການ^ຕົກລົງ	Agreement	kaan^hoklong
ການ^ຕົບຕີ	Slapping	kaan^hobhii
ການ^ຕົວະຍົວະ	Deception	kaan^howanyowa
ການ^ແຕ່ງງານ	Marriage	kaan^eihngngaan
ການ^ແຕ່ງຕັ້ງ	Appointment	kaan^eihnghng
ການ^ໂຕ້ຖຽງ	Argument	kaan^ohthnyng
ການ^ໂຕ້ຖຽງ^ກັນ	Argument	kaan^ohthnyng^kn
ການ^ຖ່ອມຕົວ	Humility	kaan^th`mhow
ການ^ຖາວອນ	Permanent residence	kaan^thaaw`n
ການ^ຖືກ	The right	kaan^thyyk
ການ^ຖືກຕ້ອງ	Correct.	kaan^thyykh`ng
ການ^ຖືສິນ	Morality	kaan^thyysin
ການ^ຖົກຖຽງ	Debate	kaan^thokthnyng
ການ^ທໍລະຍົດ	Betrayal	kaan^thMlanyod
ການ^ທາລຸນ	Abuse	kaan^thaalun
